,L1
1577836800000,0.902
1577840400000,0.924
1577844000000,0.921
1577847600000,0.93
1577851200000,0.943
1577854800000,0.95
1577858400000,0.954
1577862000000,0.949
1577865600000,0.935
1577869200000,0.913
1577872800000,0.889
1577876400000,0.858
1577880000000,0.831
1577883600000,0.806
1577887200000,0.8
1577890800000,0.819
1577894400000,0.844
1577898000000,0.847
1577901600000,0.844
1577905200000,0.835
1577908800000,0.821
1577912400000,0.796
1577916000000,0.779
1577919600000,0.748
1577923200000,0.78
1577926800000,0.78
1577930400000,0.764
1577934000000,0.777
1577937600000,0.804
1577941200000,0.826
1577944800000,0.846
1577948400000,0.857
1577952000000,0.834
1577955600000,0.807
1577959200000,0.793
1577962800000,0.779
1577966400000,0.755
1577970000000,0.741
1577973600000,0.748
1577977200000,0.752
1577980800000,0.765
1577984400000,0.789
1577988000000,0.796
1577991600000,0.802
1577995200000,0.802
1577998800000,0.791
1578002400000,0.774
1578006000000,0.751
1578009600000,0.759
1578013200000,0.756
1578016800000,0.725
1578020400000,0.718
1578024000000,0.738
1578027600000,0.762
1578031200000,0.782
1578034800000,0.785
1578038400000,0.765
1578042000000,0.739
1578045600000,0.7
1578049200000,0.666
1578052800000,0.627
1578056400000,0.594
1578060000000,0.583
1578063600000,0.625
1578067200000,0.67
1578070800000,0.675
1578074400000,0.697
1578078000000,0.692
1578081600000,0.7
1578085200000,0.688
1578088800000,0.675
1578092400000,0.654
1578096000000,0.707
1578099600000,0.741
1578103200000,0.734
1578106800000,0.75
1578110400000,0.782
1578114000000,0.819
1578117600000,0.852
1578121200000,0.866
1578124800000,0.858
1578128400000,0.854
1578132000000,0.852
1578135600000,0.851
1578139200000,0.84
1578142800000,0.829
1578146400000,0.832
1578150000000,0.836
1578153600000,0.844
1578157200000,0.839
1578160800000,0.844
1578164400000,0.84
1578168000000,0.85
1578171600000,0.831
1578175200000,0.806
1578178800000,0.779
1578182400000,0.819
1578186000000,0.861
1578189600000,0.876
1578193200000,0.885
1578196800000,0.885
1578200400000,0.879
1578204000000,0.863
1578207600000,0.849
1578211200000,0.827
1578214800000,0.794
1578218400000,0.763
1578222000000,0.747
1578225600000,0.73
1578229200000,0.718
1578232800000,0.692
1578236400000,0.71
1578240000000,0.739
1578243600000,0.768
1578247200000,0.786
1578250800000,0.767
1578254400000,0.755
1578258000000,0.753
1578261600000,0.748
1578265200000,0.694
1578268800000,0.789
1578272400000,0.787
1578276000000,0.735
1578279600000,0.695
1578283200000,0.684
1578286800000,0.7
1578290400000,0.741
1578294000000,0.772
1578297600000,0.773
1578301200000,0.772
1578304800000,0.741
1578308400000,0.7
1578312000000,0.657
1578315600000,0.621
1578319200000,0.604
1578322800000,0.59
1578326400000,0.583
1578330000000,0.525
1578333600000,0.472
1578337200000,0.454
1578340800000,0.45
1578344400000,0.432
1578348000000,0.424
1578351600000,0.359
1578355200000,0.373
1578358800000,0.316
1578362400000,0.209
1578366000000,0.12
