,L5
788918400000,0.208
788922000000,0.205
788925600000,0.148
788929200000,0.094
788932800000,0.065
788936400000,0.059
788940000000,0.068
788943600000,0.082
788947200000,0.103
788950800000,0.182
788954400000,0.425
788958000000,0.69
788961600000,0.733
788965200000,0.667
788968800000,0.568
788972400000,0.473
788976000000,0.398
788979600000,0.373
788983200000,0.376
788986800000,0.386
788990400000,0.379
788994000000,0.365
788997600000,0.337
789001200000,0.278
789004800000,0.282
789008400000,0.202
789012000000,0.111
789015600000,0.049
789019200000,0.021
789022800000,0.01
789026400000,0.009
789030000000,0.012
789033600000,0.015
789037200000,0.017
789040800000,0.049
789044400000,0.18
789048000000,0.368
789051600000,0.447
789055200000,0.432
789058800000,0.394
789062400000,0.37
789066000000,0.345
789069600000,0.309
789073200000,0.257
789076800000,0.224
789080400000,0.222
789084000000,0.226
789087600000,0.168
789091200000,0.144
789094800000,0.088
789098400000,0.046
789102000000,0.039
789105600000,0.039
789109200000,0.037
789112800000,0.032
789116400000,0.025
789120000000,0.019
789123600000,0.019
789127200000,0.017
789130800000,0.011
789134400000,0.005
789138000000,0.001
789141600000,0.001
789145200000,0.001
789148800000,0.001
789152400000,0.001
789156000000,0.002
789159600000,0.003
789163200000,0.003
789166800000,0.004
789170400000,0.004
789174000000,0.001
789177600000,0.001
789181200000,0.002
789184800000,0.008
789188400000,0.024
789192000000,0.069
789195600000,0.167
789199200000,0.306
789202800000,0.434
789206400000,0.525
789210000000,0.608
789213600000,0.69
789217200000,0.744
789220800000,0.77
789224400000,0.765
789228000000,0.739
789231600000,0.722
789235200000,0.731
789238800000,0.756
789242400000,0.784
789246000000,0.785
789249600000,0.765
789253200000,0.77
789256800000,0.809
789260400000,0.871
789264000000,0.912
789267600000,0.931
789271200000,0.939
789274800000,0.941
789278400000,0.937
789282000000,0.932
789285600000,0.927
789289200000,0.916
789292800000,0.894
789296400000,0.878
789300000000,0.883
789303600000,0.887
789307200000,0.884
789310800000,0.835
789314400000,0.777
789318000000,0.675
789321600000,0.523
789325200000,0.386
789328800000,0.314
789332400000,0.311
789336000000,0.301
789339600000,0.302
789343200000,0.314
789346800000,0.301
789350400000,0.282
789354000000,0.237
789357600000,0.186
789361200000,0.137
789364800000,0.117
789368400000,0.14
789372000000,0.209
789375600000,0.319
789379200000,0.436
789382800000,0.516
789386400000,0.464
789390000000,0.291
789393600000,0.106
789397200000,0.016
789400800000,0.005
789404400000,0.02
789408000000,0.06
789411600000,0.085
789415200000,0.09
789418800000,0.087
789422400000,0.087
789426000000,0.089
789429600000,0.098
789433200000,0.085
789436800000,0.094
789440400000,0.086
789444000000,0.055
789447600000,0.027
789451200000,0.014
789454800000,0.019
789458400000,0.028
789462000000,0.042
789465600000,0.058
789469200000,0.058
789472800000,0.034
789476400000,0.013
789480000000,0.009
789483600000,0.042
789487200000,0.115
789490800000,0.192
789494400000,0.221
789498000000,0.206
789501600000,0.181
789505200000,0.156
789508800000,0.133
789512400000,0.114
789516000000,0.102
789519600000,0.084
789523200000,0.071
789526800000,0.052
789530400000,0.027
789534000000,0.017
789537600000,0.017
789541200000,0.033
789544800000,0.079
789548400000,0.148
789552000000,0.206
789555600000,0.256
789559200000,0.243
789562800000,0.172
789566400000,0.085
789570000000,0.023
789573600000,0.001
789577200000,0.0
789580800000,0.0
789584400000,0.005
789588000000,0.021
789591600000,0.035
789595200000,0.041
789598800000,0.034
789602400000,0.024
789606000000,0.011
789609600000,0.008
789613200000,0.003
789616800000,0.006
789620400000,0.027
789624000000,0.071
789627600000,0.124
789631200000,0.178
789634800000,0.227
789638400000,0.265
789642000000,0.288
789645600000,0.259
789649200000,0.179
789652800000,0.085
789656400000,0.018
789660000000,0.001
789663600000,0.0
789667200000,0.009
789670800000,0.038
789674400000,0.079
789678000000,0.135
789681600000,0.189
789685200000,0.222
789688800000,0.208
789692400000,0.151
789696000000,0.152
789699600000,0.114
789703200000,0.045
789706800000,0.007
789710400000,0.0
789714000000,0.005
789717600000,0.021
789721200000,0.056
789724800000,0.086
789728400000,0.093
789732000000,0.059
789735600000,0.022
789739200000,0.01
789742800000,0.005
789746400000,0.003
789750000000,0.001
789753600000,0.015
789757200000,0.05
789760800000,0.092
789764400000,0.124
789768000000,0.143
789771600000,0.155
789775200000,0.156
789778800000,0.139
789782400000,0.126
789786000000,0.083
789789600000,0.028
789793200000,0.003
789796800000,0.0
789800400000,0.002
789804000000,0.019
789807600000,0.068
789811200000,0.155
789814800000,0.281
789818400000,0.334
789822000000,0.315
789825600000,0.266
789829200000,0.21
789832800000,0.162
789836400000,0.119
789840000000,0.086
789843600000,0.062
789847200000,0.041
789850800000,0.023
789854400000,0.009
789858000000,0.005
789861600000,0.006
789865200000,0.006
789868800000,0.007
789872400000,0.012
789876000000,0.028
789879600000,0.065
789883200000,0.129
789886800000,0.231
789890400000,0.368
789894000000,0.516
789897600000,0.652
789901200000,0.733
789904800000,0.748
789908400000,0.744
789912000000,0.732
789915600000,0.709
789919200000,0.657
789922800000,0.544
789926400000,0.388
789930000000,0.249
789933600000,0.178
789937200000,0.167
789940800000,0.135
789944400000,0.094
789948000000,0.064
789951600000,0.048
789955200000,0.039
789958800000,0.026
789962400000,0.015
789966000000,0.01
789969600000,0.012
789973200000,0.036
789976800000,0.105
789980400000,0.246
789984000000,0.415
789987600000,0.58
789991200000,0.606
789994800000,0.495
789998400000,0.289
790002000000,0.108
790005600000,0.036
790009200000,0.026
790012800000,0.032
790016400000,0.027
790020000000,0.025
790023600000,0.023
790027200000,0.024
790030800000,0.034
790034400000,0.045
790038000000,0.051
790041600000,0.07
790045200000,0.058
790048800000,0.04
790052400000,0.03
790056000000,0.037
790059600000,0.062
790063200000,0.102
790066800000,0.165
790070400000,0.223
790074000000,0.266
790077600000,0.184
790081200000,0.141
790084800000,0.259
790088400000,0.352
790092000000,0.32
