,Mn8
1041379200000,0.448
1041382800000,0.575
1041386400000,0.648
1041390000000,0.682
1041393600000,0.665
1041397200000,0.616
1041400800000,0.508
1041404400000,0.356
1041408000000,0.158
1041411600000,0.0
1041415200000,0.0
1041418800000,0.0
1041422400000,0.0
1041426000000,0.0
1041429600000,0.0
1041433200000,0.0
1041436800000,0.0
1041440400000,0.0
1041444000000,0.0
1041447600000,0.0
1041451200000,0.0
1041454800000,0.0
1041458400000,0.102
1041462000000,0.316
1041465600000,0.519
1041469200000,0.644
1041472800000,0.718
1041476400000,0.74
1041480000000,0.72
1041483600000,0.655
1041487200000,0.54
1041490800000,0.378
1041494400000,0.168
1041498000000,0.0
1041501600000,0.0
1041505200000,0.0
1041508800000,0.0
1041512400000,0.0
1041516000000,0.0
1041519600000,0.0
1041523200000,0.0
1041526800000,0.0
1041530400000,0.0
1041534000000,0.0
1041537600000,0.0
1041541200000,0.0
1041544800000,0.083
1041548400000,0.294
1041552000000,0.498
1041555600000,0.639
1041559200000,0.72
1041562800000,0.744
1041566400000,0.723
1041570000000,0.653
1041573600000,0.522
1041577200000,0.36
1041580800000,0.159
1041584400000,0.0
1041588000000,0.0
1041591600000,0.0
1041595200000,0.0
1041598800000,0.0
1041602400000,0.0
1041606000000,0.0
1041609600000,0.0
1041613200000,0.0
1041616800000,0.0
1041620400000,0.0
1041624000000,0.0
1041627600000,0.0
1041631200000,0.081
1041634800000,0.284
1041638400000,0.474
1041642000000,0.604
1041645600000,0.688
1041649200000,0.714
1041652800000,0.695
1041656400000,0.616
1041660000000,0.491
1041663600000,0.303
1041667200000,0.121
1041670800000,0.0
1041674400000,0.0
1041678000000,0.0
1041681600000,0.0
1041685200000,0.0
1041688800000,0.0
1041692400000,0.0
1041696000000,0.0
1041699600000,0.0
1041703200000,0.0
1041706800000,0.0
1041710400000,0.0
1041714000000,0.0
1041717600000,0.051
1041721200000,0.204
1041724800000,0.374
1041728400000,0.482
1041732000000,0.552
1041735600000,0.534
1041739200000,0.48
1041742800000,0.374
1041746400000,0.245
1041750000000,0.149
1041753600000,0.05
1041757200000,0.0
1041760800000,0.0
1041764400000,0.0
1041768000000,0.0
1041771600000,0.0
1041775200000,0.0
1041778800000,0.0
1041782400000,0.0
1041786000000,0.0
1041789600000,0.0
1041793200000,0.0
1041796800000,0.0
1041800400000,0.0
1041804000000,0.03
1041807600000,0.117
1041811200000,0.185
1041814800000,0.206
1041818400000,0.219
1041822000000,0.237
1041825600000,0.229
1041829200000,0.201
1041832800000,0.158
1041836400000,0.102
1041840000000,0.038
1041843600000,0.0
1041847200000,0.0
1041850800000,0.0
1041854400000,0.0
1041858000000,0.0
1041861600000,0.0
1041865200000,0.0
1041868800000,0.0
1041872400000,0.0
1041876000000,0.0
1041879600000,0.0
1041883200000,0.0
1041886800000,0.0
1041890400000,0.032
1041894000000,0.132
1041897600000,0.239
1041901200000,0.319
1041904800000,0.374
1041908400000,0.355
1041912000000,0.311
1041915600000,0.271
1041919200000,0.22
1041922800000,0.143
1041926400000,0.052
1041930000000,0.0
1041933600000,0.0
1041937200000,0.0
1041940800000,0.0
1041944400000,0.0
1041948000000,0.0
1041951600000,0.0
1041955200000,0.0
1041958800000,0.0
1041962400000,0.0
1041966000000,0.0
1041969600000,0.0
1041973200000,0.0
1041976800000,0.042
1041980400000,0.178
1041984000000,0.331
1041987600000,0.457
1041991200000,0.552
1041994800000,0.566
1041998400000,0.53
1042002000000,0.452
1042005600000,0.341
1042009200000,0.203
1042012800000,0.067
1042016400000,0.0
1042020000000,0.0
1042023600000,0.0
1042027200000,0.0
1042030800000,0.0
1042034400000,0.0
1042038000000,0.0
1042041600000,0.0
1042045200000,0.0
1042048800000,0.0
1042052400000,0.0
1042056000000,0.0
1042059600000,0.0
1042063200000,0.059
1042066800000,0.229
1042070400000,0.417
1042074000000,0.575
1042077600000,0.67
1042081200000,0.715
1042084800000,0.71
1042088400000,0.63
1042092000000,0.516
1042095600000,0.341
1042099200000,0.133
1042102800000,0.0
1042106400000,0.0
1042110000000,0.0
1042113600000,0.0
1042117200000,0.0
1042120800000,0.0
1042124400000,0.0
1042128000000,0.0
1042131600000,0.0
1042135200000,0.0
1042138800000,0.0
1042142400000,0.0
1042146000000,0.0
1042149600000,0.087
1042153200000,0.289
1042156800000,0.467
1042160400000,0.592
1042164000000,0.635
1042167600000,0.638
1042171200000,0.624
1042174800000,0.562
1042178400000,0.449
1042182000000,0.307
1042185600000,0.132
1042189200000,0.0
1042192800000,0.0
1042196400000,0.0
1042200000000,0.0
1042203600000,0.0
1042207200000,0.0
1042210800000,0.0
1042214400000,0.0
1042218000000,0.0
1042221600000,0.0
1042225200000,0.0
1042228800000,0.0
1042232400000,0.0
1042236000000,0.089
1042239600000,0.288
1042243200000,0.47
1042246800000,0.606
1042250400000,0.701
1042254000000,0.726
1042257600000,0.709
1042261200000,0.642
1042264800000,0.516
1042268400000,0.328
1042272000000,0.119
1042275600000,0.0
1042279200000,0.0
1042282800000,0.0
1042286400000,0.0
1042290000000,0.0
1042293600000,0.0
1042297200000,0.0
1042300800000,0.0
1042304400000,0.0
1042308000000,0.0
1042311600000,0.0
1042315200000,0.0
1042318800000,0.0
1042322400000,0.117
1042326000000,0.346
1042329600000,0.527
1042333200000,0.65
1042336800000,0.715
1042340400000,0.736
1042344000000,0.714
1042347600000,0.647
1042351200000,0.528
1042354800000,0.354
1042358400000,0.149
1042362000000,0.0
1042365600000,0.0
1042369200000,0.0
1042372800000,0.0
1042376400000,0.0
1042380000000,0.0
1042383600000,0.0
1042387200000,0.0
1042390800000,0.0
1042394400000,0.0
1042398000000,0.0
1042401600000,0.0
1042405200000,0.0
1042408800000,0.09
1042412400000,0.309
1042416000000,0.495
1042419600000,0.623
1042423200000,0.705
1042426800000,0.731
1042430400000,0.711
1042434000000,0.633
1042437600000,0.518
1042441200000,0.35
1042444800000,0.147
1042448400000,0.0
1042452000000,0.0
1042455600000,0.0
1042459200000,0.0
1042462800000,0.0
1042466400000,0.0
1042470000000,0.0
1042473600000,0.0
1042477200000,0.0
1042480800000,0.0
1042484400000,0.0
1042488000000,0.0
1042491600000,0.0
1042495200000,0.105
1042498800000,0.332
1042502400000,0.512
1042506000000,0.642
1042509600000,0.711
1042513200000,0.731
1042516800000,0.704
1042520400000,0.644
1042524000000,0.533
1042527600000,0.373
1042531200000,0.155
1042534800000,0.0
1042538400000,0.0
1042542000000,0.0
1042545600000,0.0
1042549200000,0.0
1042552800000,0.0
1042556400000,0.0
1042560000000,0.0
1042563600000,0.0
1042567200000,0.0
1042570800000,0.0
1042574400000,0.0
1042578000000,0.0
1042581600000,0.11
1042585200000,0.32
1042588800000,0.476
1042592400000,0.622
1042596000000,0.684
1042599600000,0.705
1042603200000,0.687
1042606800000,0.614
1042610400000,0.484
1042614000000,0.309
1042617600000,0.105
1042621200000,0.0
1042624800000,0.0
1042628400000,0.0
1042632000000,0.0
1042635600000,0.0
1042639200000,0.0
1042642800000,0.0
1042646400000,0.0
1042650000000,0.0
1042653600000,0.0
1042657200000,0.0
1042660800000,0.0
1042664400000,0.0
1042668000000,0.084
1042671600000,0.282
1042675200000,0.472
1042678800000,0.601
1042682400000,0.678
1042686000000,0.702
1042689600000,0.667
1042693200000,0.599
1042696800000,0.477
1042700400000,0.321
1042704000000,0.123
1042707600000,0.0
1042711200000,0.0
1042714800000,0.0
1042718400000,0.0
1042722000000,0.0
1042725600000,0.0
1042729200000,0.0
1042732800000,0.0
1042736400000,0.0
1042740000000,0.0
1042743600000,0.0
1042747200000,0.0
1042750800000,0.0
1042754400000,0.079
1042758000000,0.277
1042761600000,0.45
1042765200000,0.562
1042768800000,0.537
1042772400000,0.503
1042776000000,0.487
1042779600000,0.435
1042783200000,0.369
1042786800000,0.285
1042790400000,0.131
1042794000000,0.0
1042797600000,0.0
1042801200000,0.0
1042804800000,0.0
1042808400000,0.0
1042812000000,0.0
1042815600000,0.0
1042819200000,0.0
1042822800000,0.0
1042826400000,0.0
1042830000000,0.0
1042833600000,0.0
1042837200000,0.0
1042840800000,0.093
1042844400000,0.298
1042848000000,0.502
1042851600000,0.628
1042855200000,0.702
1042858800000,0.714
1042862400000,0.688
1042866000000,0.608
1042869600000,0.48
1042873200000,0.316
1042876800000,0.112
1042880400000,0.0
1042884000000,0.0
1042887600000,0.0
1042891200000,0.0
1042894800000,0.0
1042898400000,0.0
1042902000000,0.0
1042905600000,0.0
1042909200000,0.0
1042912800000,0.0
1042916400000,0.0
1042920000000,0.0
1042923600000,0.0
1042927200000,0.055
1042930800000,0.198
1042934400000,0.331
1042938000000,0.431
1042941600000,0.471
1042945200000,0.474
1042948800000,0.435
1042952400000,0.382
1042956000000,0.304
1042959600000,0.192
1042963200000,0.068
1042966800000,0.0
1042970400000,0.0
1042974000000,0.0
1042977600000,0.0
1042981200000,0.0
1042984800000,0.0
1042988400000,0.0
1042992000000,0.0
1042995600000,0.0
1042999200000,0.0
1043002800000,0.0
1043006400000,0.0
1043010000000,0.0
1043013600000,0.035
1043017200000,0.157
1043020800000,0.29
1043024400000,0.391
1043028000000,0.439
1043031600000,0.426
1043035200000,0.368
1043038800000,0.298
1043042400000,0.204
1043046000000,0.109
1043049600000,0.036
1043053200000,0.0
1043056800000,0.0
1043060400000,0.0
1043064000000,0.0
1043067600000,0.0
1043071200000,0.0
1043074800000,0.0
1043078400000,0.0
1043082000000,0.0
1043085600000,0.0
1043089200000,0.0
1043092800000,0.0
1043096400000,0.0
1043100000000,0.02
1043103600000,0.09
1043107200000,0.166
1043110800000,0.24
1043114400000,0.304
1043118000000,0.33
1043121600000,0.326
1043125200000,0.287
1043128800000,0.218
1043132400000,0.137
1043136000000,0.049
1043139600000,0.0
1043143200000,0.0
1043146800000,0.0
1043150400000,0.0
1043154000000,0.0
1043157600000,0.0
1043161200000,0.0
1043164800000,0.0
1043168400000,0.0
1043172000000,0.0
1043175600000,0.0
1043179200000,0.0
1043182800000,0.0
1043186400000,0.039
1043190000000,0.154
1043193600000,0.279
1043197200000,0.358
1043200800000,0.408
1043204400000,0.402
1043208000000,0.374
1043211600000,0.313
1043215200000,0.249
1043218800000,0.167
1043222400000,0.059
1043226000000,0.0
1043229600000,0.0
1043233200000,0.0
1043236800000,0.0
1043240400000,0.0
1043244000000,0.0
1043247600000,0.0
1043251200000,0.0
1043254800000,0.0
1043258400000,0.0
1043262000000,0.0
1043265600000,0.0
1043269200000,0.0
1043272800000,0.047
1043276400000,0.184
1043280000000,0.312
1043283600000,0.414
1043287200000,0.497
1043290800000,0.508
1043294400000,0.445
1043298000000,0.331
1043301600000,0.211
1043305200000,0.112
1043308800000,0.036
1043312400000,0.0
1043316000000,0.0
1043319600000,0.0
1043323200000,0.0
1043326800000,0.0
1043330400000,0.0
1043334000000,0.0
1043337600000,0.0
1043341200000,0.0
1043344800000,0.0
1043348400000,0.0
1043352000000,0.0
1043355600000,0.0
1043359200000,0.019
1043362800000,0.091
1043366400000,0.143
1043370000000,0.169
1043373600000,0.178
1043377200000,0.186
1043380800000,0.181
1043384400000,0.165
1043388000000,0.137
1043391600000,0.09
1043395200000,0.031
1043398800000,0.0
1043402400000,0.0
1043406000000,0.0
1043409600000,0.0
1043413200000,0.0
1043416800000,0.0
1043420400000,0.0
1043424000000,0.0
1043427600000,0.0
1043431200000,0.0
1043434800000,0.0
1043438400000,0.0
1043442000000,0.0
1043445600000,0.031
1043449200000,0.14
1043452800000,0.254
1043456400000,0.322
1043460000000,0.377
1043463600000,0.397
1043467200000,0.389
1043470800000,0.346
1043474400000,0.264
1043478000000,0.16
1043481600000,0.057
1043485200000,0.0
1043488800000,0.0
1043492400000,0.0
1043496000000,0.0
1043499600000,0.0
1043503200000,0.0
1043506800000,0.0
1043510400000,0.0
1043514000000,0.0
1043517600000,0.0
1043521200000,0.0
1043524800000,0.0
1043528400000,0.0
1043532000000,0.075
1043535600000,0.271
1043539200000,0.472
1043542800000,0.602
1043546400000,0.673
1043550000000,0.674
1043553600000,0.631
1043557200000,0.543
1043560800000,0.418
1043564400000,0.23
1043568000000,0.074
1043571600000,0.0
1043575200000,0.0
1043578800000,0.0
1043582400000,0.0
1043586000000,0.0
1043589600000,0.0
1043593200000,0.0
1043596800000,0.0
1043600400000,0.0
1043604000000,0.0
1043607600000,0.0
1043611200000,0.0
1043614800000,0.0
1043618400000,0.035
1043622000000,0.157
1043625600000,0.313
1043629200000,0.476
1043632800000,0.589
1043636400000,0.622
1043640000000,0.609
1043643600000,0.542
1043647200000,0.436
1043650800000,0.278
1043654400000,0.11
1043658000000,0.0
1043661600000,0.0
1043665200000,0.0
1043668800000,0.0
1043672400000,0.0
1043676000000,0.0
1043679600000,0.0
1043683200000,0.0
1043686800000,0.0
1043690400000,0.0
1043694000000,0.0
1043697600000,0.0
1043701200000,0.0
1043704800000,0.074
1043708400000,0.244
1043712000000,0.437
1043715600000,0.562
1043719200000,0.64
1043722800000,0.668
1043726400000,0.654
1043730000000,0.595
1043733600000,0.501
1043737200000,0.351
1043740800000,0.147
1043744400000,0.001
1043748000000,0.0
1043751600000,0.0
1043755200000,0.0
1043758800000,0.0
1043762400000,0.0
1043766000000,0.0
1043769600000,0.0
1043773200000,0.0
1043776800000,0.0
1043780400000,0.0
1043784000000,0.0
1043787600000,0.0
1043791200000,0.114
1043794800000,0.344
1043798400000,0.523
1043802000000,0.65
1043805600000,0.725
1043809200000,0.75
1043812800000,0.727
1043816400000,0.651
1043820000000,0.51
1043823600000,0.32
1043827200000,0.121
1043830800000,0.0
1043834400000,0.0
1043838000000,0.0
1043841600000,0.0
1043845200000,0.0
1043848800000,0.0
1043852400000,0.0
1043856000000,0.0
1043859600000,0.0
1043863200000,0.0
1043866800000,0.0
1043870400000,0.0
1043874000000,0.0
1043877600000,0.098
1043881200000,0.311
1043884800000,0.497
1043888400000,0.642
1043892000000,0.722
1043895600000,0.746
1043899200000,0.731
1043902800000,0.661
1043906400000,0.548
1043910000000,0.383
1043913600000,0.17
1043917200000,0.003
1043920800000,0.0
1043924400000,0.0
1043928000000,0.0
1043931600000,0.0
1043935200000,0.0
1043938800000,0.0
1043942400000,0.0
1043946000000,0.0
1043949600000,0.0
1043953200000,0.0
1043956800000,0.0
1043960400000,0.0
1043964000000,0.112
1043967600000,0.336
1043971200000,0.522
1043974800000,0.648
1043978400000,0.726
1043982000000,0.756
1043985600000,0.739
1043989200000,0.672
1043992800000,0.557
1043996400000,0.392
1044000000000,0.179
1044003600000,0.003
1044007200000,0.0
1044010800000,0.0
1044014400000,0.0
1044018000000,0.0
1044021600000,0.0
1044025200000,0.0
1044028800000,0.0
1044032400000,0.0
1044036000000,0.0
1044039600000,0.0
1044043200000,0.0
1044046800000,0.0
1044050400000,0.119
1044054000000,0.339
1044057600000,0.531
1044061200000,0.664
1044064800000,0.738
1044068400000,0.765
1044072000000,0.746
1044075600000,0.68
1044079200000,0.563
1044082800000,0.397
1044086400000,0.177
1044090000000,0.004
1044093600000,0.0
1044097200000,0.0
1044100800000,0.0
1044104400000,0.0
1044108000000,0.0
1044111600000,0.0
1044115200000,0.0
1044118800000,0.0
1044122400000,0.0
1044126000000,0.0
1044129600000,0.0
1044133200000,0.0
1044136800000,0.073
1044140400000,0.282
1044144000000,0.458
1044147600000,0.596
1044151200000,0.656
1044154800000,0.64
1044158400000,0.572
1044162000000,0.447
1044165600000,0.336
1044169200000,0.206
1044172800000,0.075
1044176400000,0.0
1044180000000,0.0
1044183600000,0.0
1044187200000,0.0
1044190800000,0.0
1044194400000,0.0
1044198000000,0.0
1044201600000,0.0
1044205200000,0.0
1044208800000,0.0
1044212400000,0.0
1044216000000,0.0
1044219600000,0.0
1044223200000,0.104
1044226800000,0.307
1044230400000,0.485
1044234000000,0.615
1044237600000,0.664
1044241200000,0.651
1044244800000,0.546
1044248400000,0.398
1044252000000,0.251
1044255600000,0.15
1044259200000,0.056
1044262800000,0.0
1044266400000,0.0
1044270000000,0.0
1044273600000,0.0
1044277200000,0.0
1044280800000,0.0
1044284400000,0.0
1044288000000,0.0
1044291600000,0.0
1044295200000,0.0
1044298800000,0.0
1044302400000,0.0
1044306000000,0.0
1044309600000,0.102
1044313200000,0.299
1044316800000,0.459
1044320400000,0.594
1044324000000,0.68
1044327600000,0.697
1044331200000,0.663
1044334800000,0.546
1044338400000,0.385
1044342000000,0.224
1044345600000,0.081
1044349200000,0.0
1044352800000,0.0
1044356400000,0.0
1044360000000,0.0
1044363600000,0.0
1044367200000,0.0
1044370800000,0.0
1044374400000,0.0
1044378000000,0.0
1044381600000,0.0
1044385200000,0.0
1044388800000,0.0
1044392400000,0.0
1044396000000,0.083
1044399600000,0.281
1044403200000,0.478
1044406800000,0.623
1044410400000,0.701
1044414000000,0.703
1044417600000,0.66
1044421200000,0.592
1044424800000,0.451
1044428400000,0.298
1044432000000,0.107
1044435600000,0.0
1044439200000,0.0
1044442800000,0.0
1044446400000,0.0
1044450000000,0.0
1044453600000,0.0
1044457200000,0.0
1044460800000,0.0
1044464400000,0.0
1044468000000,0.0
1044471600000,0.0
1044475200000,0.0
1044478800000,0.0
1044482400000,0.057
1044486000000,0.219
1044489600000,0.384
1044493200000,0.497
1044496800000,0.556
1044500400000,0.552
1044504000000,0.507
1044507600000,0.415
1044511200000,0.298
1044514800000,0.168
1044518400000,0.06
1044522000000,0.0
1044525600000,0.0
1044529200000,0.0
1044532800000,0.0
1044536400000,0.0
1044540000000,0.0
1044543600000,0.0
1044547200000,0.0
1044550800000,0.0
1044554400000,0.0
1044558000000,0.0
1044561600000,0.0
1044565200000,0.0
1044568800000,0.043
1044572400000,0.157
1044576000000,0.272
1044579600000,0.362
1044583200000,0.435
1044586800000,0.452
1044590400000,0.436
1044594000000,0.405
1044597600000,0.336
1044601200000,0.239
1044604800000,0.109
1044608400000,0.0
1044612000000,0.0
1044615600000,0.0
1044619200000,0.0
1044622800000,0.0
1044626400000,0.0
1044630000000,0.0
1044633600000,0.0
1044637200000,0.0
1044640800000,0.0
1044644400000,0.0
1044648000000,0.0
1044651600000,0.0
1044655200000,0.101
1044658800000,0.291
1044662400000,0.477
1044666000000,0.588
1044669600000,0.647
1044673200000,0.682
1044676800000,0.689
1044680400000,0.648
1044684000000,0.546
1044687600000,0.386
1044691200000,0.173
1044694800000,0.003
1044698400000,0.0
1044702000000,0.0
1044705600000,0.0
1044709200000,0.0
1044712800000,0.0
1044716400000,0.0
1044720000000,0.0
1044723600000,0.0
1044727200000,0.0
1044730800000,0.0
1044734400000,0.0
1044738000000,0.0
1044741600000,0.079
1044745200000,0.267
1044748800000,0.453
1044752400000,0.585
1044756000000,0.637
1044759600000,0.639
1044763200000,0.599
1044766800000,0.517
1044770400000,0.396
1044774000000,0.249
1044777600000,0.096
1044781200000,0.0
1044784800000,0.0
1044788400000,0.0
1044792000000,0.0
1044795600000,0.0
1044799200000,0.0
1044802800000,0.0
1044806400000,0.0
1044810000000,0.0
1044813600000,0.0
1044817200000,0.0
1044820800000,0.0
1044824400000,0.0
1044828000000,0.025
1044831600000,0.112
1044835200000,0.221
1044838800000,0.341
1044842400000,0.405
1044846000000,0.392
1044849600000,0.333
1044853200000,0.258
1044856800000,0.201
1044860400000,0.123
1044864000000,0.049
1044867600000,0.0
1044871200000,0.0
1044874800000,0.0
1044878400000,0.0
1044882000000,0.0
1044885600000,0.0
1044889200000,0.0
1044892800000,0.0
1044896400000,0.0
1044900000000,0.0
1044903600000,0.0
1044907200000,0.0
1044910800000,0.0
1044914400000,0.114
1044918000000,0.347
1044921600000,0.543
1044925200000,0.669
1044928800000,0.744
1044932400000,0.77
1044936000000,0.754
1044939600000,0.67
1044943200000,0.551
1044946800000,0.373
1044950400000,0.167
1044954000000,0.004
1044957600000,0.0
1044961200000,0.0
1044964800000,0.0
1044968400000,0.0
1044972000000,0.0
1044975600000,0.0
1044979200000,0.0
1044982800000,0.0
1044986400000,0.0
1044990000000,0.0
1044993600000,0.0
1044997200000,0.0
1045000800000,0.131
1045004400000,0.353
1045008000000,0.544
1045011600000,0.678
1045015200000,0.755
1045018800000,0.781
1045022400000,0.762
1045026000000,0.695
1045029600000,0.576
1045033200000,0.384
1045036800000,0.158
1045040400000,0.001
1045044000000,0.0
1045047600000,0.0
1045051200000,0.0
1045054800000,0.0
1045058400000,0.0
1045062000000,0.0
1045065600000,0.0
1045069200000,0.0
1045072800000,0.0
1045076400000,0.0
1045080000000,0.0
1045083600000,0.0
1045087200000,0.059
1045090800000,0.233
1045094400000,0.429
1045098000000,0.578
1045101600000,0.672
1045105200000,0.68
1045108800000,0.652
1045112400000,0.588
1045116000000,0.461
1045119600000,0.294
1045123200000,0.126
1045126800000,0.001
1045130400000,0.0
1045134000000,0.0
1045137600000,0.0
1045141200000,0.0
1045144800000,0.0
1045148400000,0.0
1045152000000,0.0
1045155600000,0.0
1045159200000,0.0
1045162800000,0.0
1045166400000,0.0
1045170000000,0.0
1045173600000,0.091
1045177200000,0.297
1045180800000,0.497
1045184400000,0.635
1045188000000,0.707
1045191600000,0.719
1045195200000,0.709
1045198800000,0.657
1045202400000,0.542
1045206000000,0.374
1045209600000,0.173
1045213200000,0.003
1045216800000,0.0
1045220400000,0.0
1045224000000,0.0
1045227600000,0.0
1045231200000,0.0
1045234800000,0.0
1045238400000,0.0
1045242000000,0.0
1045245600000,0.0
1045249200000,0.0
1045252800000,0.0
1045256400000,0.0
1045260000000,0.115
1045263600000,0.319
1045267200000,0.488
1045270800000,0.634
1045274400000,0.717
1045278000000,0.753
1045281600000,0.735
1045285200000,0.672
1045288800000,0.556
1045292400000,0.396
1045296000000,0.178
1045299600000,0.005
1045303200000,0.0
1045306800000,0.0
1045310400000,0.0
1045314000000,0.0
1045317600000,0.0
1045321200000,0.0
1045324800000,0.0
1045328400000,0.0
1045332000000,0.0
1045335600000,0.0
1045339200000,0.0
1045342800000,0.0
1045346400000,0.121
1045350000000,0.344
1045353600000,0.53
1045357200000,0.658
1045360800000,0.734
1045364400000,0.76
1045368000000,0.74
1045371600000,0.668
1045375200000,0.551
1045378800000,0.384
1045382400000,0.162
1045386000000,0.003
1045389600000,0.0
1045393200000,0.0
1045396800000,0.0
1045400400000,0.0
1045404000000,0.0
1045407600000,0.0
1045411200000,0.0
1045414800000,0.0
1045418400000,0.0
1045422000000,0.0
1045425600000,0.0
1045429200000,0.0
1045432800000,0.126
1045436400000,0.368
1045440000000,0.558
1045443600000,0.685
1045447200000,0.755
1045450800000,0.772
1045454400000,0.739
1045458000000,0.68
1045461600000,0.577
1045465200000,0.402
1045468800000,0.167
1045472400000,0.004
1045476000000,0.0
1045479600000,0.0
1045483200000,0.0
1045486800000,0.0
1045490400000,0.0
1045494000000,0.0
1045497600000,0.0
1045501200000,0.0
1045504800000,0.0
1045508400000,0.0
1045512000000,0.0
1045515600000,0.0
1045519200000,0.111
1045522800000,0.347
1045526400000,0.539
1045530000000,0.677
1045533600000,0.751
1045537200000,0.782
1045540800000,0.762
1045544400000,0.698
1045548000000,0.58
1045551600000,0.397
1045555200000,0.184
1045558800000,0.005
1045562400000,0.0
1045566000000,0.0
1045569600000,0.0
1045573200000,0.0
1045576800000,0.0
1045580400000,0.0
1045584000000,0.0
1045587600000,0.0
1045591200000,0.0
1045594800000,0.0
1045598400000,0.0
1045602000000,0.0
1045605600000,0.098
1045609200000,0.284
1045612800000,0.422
1045616400000,0.505
1045620000000,0.512
1045623600000,0.462
1045627200000,0.385
1045630800000,0.291
1045634400000,0.208
1045638000000,0.116
1045641600000,0.038
1045645200000,0.0
1045648800000,0.0
1045652400000,0.0
1045656000000,0.0
1045659600000,0.0
1045663200000,0.0
1045666800000,0.0
1045670400000,0.0
1045674000000,0.0
1045677600000,0.0
1045681200000,0.0
1045684800000,0.0
1045688400000,0.0
1045692000000,0.075
1045695600000,0.264
1045699200000,0.442
1045702800000,0.556
1045706400000,0.598
1045710000000,0.613
1045713600000,0.573
1045717200000,0.494
1045720800000,0.392
1045724400000,0.267
1045728000000,0.123
1045731600000,0.002
1045735200000,0.0
1045738800000,0.0
1045742400000,0.0
1045746000000,0.0
1045749600000,0.0
1045753200000,0.0
1045756800000,0.0
1045760400000,0.0
1045764000000,0.0
1045767600000,0.0
1045771200000,0.0
1045774800000,0.0
1045778400000,0.108
1045782000000,0.326
1045785600000,0.523
1045789200000,0.657
1045792800000,0.725
