,Mn8
536457600000,0.328
536461200000,0.407
536464800000,0.449
536468400000,0.466
536472000000,0.454
536475600000,0.404
536479200000,0.312
536482800000,0.195
536486400000,0.074
536490000000,0.0
536493600000,0.0
536497200000,0.0
536500800000,0.0
536504400000,0.0
536508000000,0.0
536511600000,0.0
536515200000,0.0
536518800000,0.0
536522400000,0.0
536526000000,0.0
536529600000,0.0
536533200000,0.0
536536800000,0.072
536540400000,0.271
536544000000,0.472
536547600000,0.602
536551200000,0.681
536554800000,0.71
536558400000,0.692
536562000000,0.627
536565600000,0.512
536569200000,0.343
536572800000,0.133
536576400000,0.0
536580000000,0.0
536583600000,0.0
536587200000,0.0
536590800000,0.0
536594400000,0.0
536598000000,0.0
536601600000,0.0
536605200000,0.0
536608800000,0.0
536612400000,0.0
536616000000,0.0
536619600000,0.0
536623200000,0.072
536626800000,0.237
536630400000,0.345
536634000000,0.369
536637600000,0.375
536641200000,0.368
536644800000,0.373
536648400000,0.33
536652000000,0.23
536655600000,0.118
536659200000,0.034
536662800000,0.0
536666400000,0.0
536670000000,0.0
536673600000,0.0
536677200000,0.0
536680800000,0.0
536684400000,0.0
536688000000,0.0
536691600000,0.0
536695200000,0.0
536698800000,0.0
536702400000,0.0
536706000000,0.0
536709600000,0.052
536713200000,0.205
536716800000,0.339
536720400000,0.441
536724000000,0.529
536727600000,0.588
536731200000,0.55
536734800000,0.467
536738400000,0.408
536742000000,0.261
536745600000,0.104
536749200000,0.0
536752800000,0.0
536756400000,0.0
536760000000,0.0
536763600000,0.0
536767200000,0.0
536770800000,0.0
536774400000,0.0
536778000000,0.0
536781600000,0.0
536785200000,0.0
536788800000,0.0
536792400000,0.0
536796000000,0.015
536799600000,0.078
536803200000,0.144
536806800000,0.224
536810400000,0.283
536814000000,0.315
536817600000,0.316
536821200000,0.276
536824800000,0.203
536828400000,0.115
536832000000,0.036
536835600000,0.0
536839200000,0.0
536842800000,0.0
536846400000,0.0
536850000000,0.0
536853600000,0.0
536857200000,0.0
536860800000,0.0
536864400000,0.0
536868000000,0.0
536871600000,0.0
536875200000,0.0
536878800000,0.0
536882400000,0.018
536886000000,0.1
536889600000,0.201
536893200000,0.295
536896800000,0.357
536900400000,0.381
536904000000,0.36
536907600000,0.323
536911200000,0.255
536914800000,0.156
536918400000,0.055
536922000000,0.0
536925600000,0.0
536929200000,0.0
536932800000,0.0
536936400000,0.0
536940000000,0.0
536943600000,0.0
536947200000,0.0
536950800000,0.0
536954400000,0.0
536958000000,0.0
536961600000,0.0
536965200000,0.0
536968800000,0.033
536972400000,0.165
536976000000,0.347
536979600000,0.51
536983200000,0.579
536986800000,0.581
536990400000,0.574
536994000000,0.521
536997600000,0.408
537001200000,0.263
537004800000,0.101
537008400000,0.0
537012000000,0.0
537015600000,0.0
537019200000,0.0
537022800000,0.0
537026400000,0.0
537030000000,0.0
537033600000,0.0
537037200000,0.0
537040800000,0.0
537044400000,0.0
537048000000,0.0
537051600000,0.0
537055200000,0.067
537058800000,0.226
537062400000,0.393
537066000000,0.499
537069600000,0.571
537073200000,0.616
537076800000,0.614
537080400000,0.539
537084000000,0.427
537087600000,0.287
537091200000,0.113
537094800000,0.0
537098400000,0.0
537102000000,0.0
537105600000,0.0
537109200000,0.0
537112800000,0.0
537116400000,0.0
537120000000,0.0
537123600000,0.0
537127200000,0.0
537130800000,0.0
537134400000,0.0
537138000000,0.0
537141600000,0.039
537145200000,0.166
537148800000,0.332
537152400000,0.463
537156000000,0.531
537159600000,0.552
537163200000,0.538
537166800000,0.498
537170400000,0.408
537174000000,0.279
537177600000,0.114
537181200000,0.0
537184800000,0.0
537188400000,0.0
537192000000,0.0
537195600000,0.0
537199200000,0.0
537202800000,0.0
537206400000,0.0
537210000000,0.0
537213600000,0.0
537217200000,0.0
537220800000,0.0
537224400000,0.0
537228000000,0.049
537231600000,0.167
537235200000,0.259
537238800000,0.353
537242400000,0.413
537246000000,0.421
537249600000,0.371
537253200000,0.294
537256800000,0.21
537260400000,0.126
537264000000,0.037
537267600000,0.0
537271200000,0.0
537274800000,0.0
537278400000,0.0
537282000000,0.0
537285600000,0.0
537289200000,0.0
537292800000,0.0
537296400000,0.0
537300000000,0.0
537303600000,0.0
537307200000,0.0
537310800000,0.0
537314400000,0.093
537318000000,0.317
537321600000,0.503
537325200000,0.646
537328800000,0.724
537332400000,0.754
537336000000,0.732
537339600000,0.661
537343200000,0.535
537346800000,0.36
537350400000,0.156
