,Mn4
915148800000,0.791
915152400000,0.808
915156000000,0.823
915159600000,0.815
915163200000,0.785
915166800000,0.753
915170400000,0.76
915174000000,0.777
915177600000,0.795
915181200000,0.777
915184800000,0.752
915188400000,0.69
915192000000,0.603
915195600000,0.529
915199200000,0.446
915202800000,0.436
915206400000,0.525
915210000000,0.656
915213600000,0.69
915217200000,0.739
915220800000,0.802
915224400000,0.777
915228000000,0.757
915231600000,0.755
915235200000,0.736
915238800000,0.739
915242400000,0.748
915246000000,0.751
915249600000,0.739
915253200000,0.694
915256800000,0.649
915260400000,0.628
915264000000,0.604
915267600000,0.62
915271200000,0.656
915274800000,0.666
915278400000,0.661
915282000000,0.649
915285600000,0.619
915289200000,0.571
915292800000,0.503
915296400000,0.488
915300000000,0.475
915303600000,0.449
915307200000,0.422
915310800000,0.402
915314400000,0.388
915318000000,0.372
915321600000,0.377
915325200000,0.413
915328800000,0.443
915332400000,0.466
915336000000,0.474
915339600000,0.467
915343200000,0.447
915346800000,0.45
915350400000,0.459
915354000000,0.491
915357600000,0.498
915361200000,0.473
915364800000,0.442
915368400000,0.395
915372000000,0.358
915375600000,0.314
915379200000,0.28
915382800000,0.251
915386400000,0.235
915390000000,0.225
915393600000,0.225
915397200000,0.199
915400800000,0.144
915404400000,0.086
915408000000,0.055
915411600000,0.023
915415200000,0.001
915418800000,0.002
915422400000,0.046
915426000000,0.077
915429600000,0.059
915433200000,0.038
915436800000,0.022
915440400000,0.015
915444000000,0.025
915447600000,0.033
915451200000,0.032
915454800000,0.032
915458400000,0.027
915462000000,0.021
915465600000,0.019
915469200000,0.015
915472800000,0.013
915476400000,0.013
915480000000,0.017
915483600000,0.018
915487200000,0.014
915490800000,0.016
915494400000,0.018
915498000000,0.021
915501600000,0.033
915505200000,0.043
915508800000,0.05
915512400000,0.057
915516000000,0.06
915519600000,0.059
915523200000,0.058
915526800000,0.064
915530400000,0.082
915534000000,0.114
915537600000,0.16
915541200000,0.209
915544800000,0.255
915548400000,0.259
915552000000,0.232
915555600000,0.205
915559200000,0.192
915562800000,0.18
915566400000,0.176
915570000000,0.178
915573600000,0.155
915577200000,0.151
915580800000,0.202
915584400000,0.221
915588000000,0.242
915591600000,0.259
915595200000,0.261
915598800000,0.242
915602400000,0.23
915606000000,0.245
915609600000,0.256
915613200000,0.288
915616800000,0.332
915620400000,0.336
915624000000,0.289
915627600000,0.256
915631200000,0.225
915634800000,0.198
915638400000,0.171
915642000000,0.134
915645600000,0.096
915649200000,0.068
915652800000,0.049
915656400000,0.035
915660000000,0.026
915663600000,0.03
915667200000,0.047
915670800000,0.055
915674400000,0.058
915678000000,0.055
915681600000,0.046
915685200000,0.034
915688800000,0.024
915692400000,0.021
915696000000,0.023
915699600000,0.026
915703200000,0.021
915706800000,0.015
915710400000,0.009
915714000000,0.006
915717600000,0.005
915721200000,0.004
915724800000,0.002
915728400000,0.001
915732000000,0.001
915735600000,0.0
915739200000,0.0
915742800000,0.0
915746400000,0.0
915750000000,0.0
915753600000,0.0
915757200000,0.0
915760800000,0.0
915764400000,0.0
915768000000,0.002
915771600000,0.003
915775200000,0.005
915778800000,0.008
915782400000,0.014
915786000000,0.022
915789600000,0.03
915793200000,0.036
915796800000,0.04
915800400000,0.037
915804000000,0.03
915807600000,0.026
915811200000,0.028
915814800000,0.031
915818400000,0.035
915822000000,0.044
915825600000,0.06
915829200000,0.091
915832800000,0.142
915836400000,0.194
915840000000,0.243
915843600000,0.292
915847200000,0.315
915850800000,0.311
915854400000,0.281
915858000000,0.253
915861600000,0.237
915865200000,0.228
915868800000,0.209
915872400000,0.22
915876000000,0.238
915879600000,0.241
915883200000,0.248
915886800000,0.262
915890400000,0.264
915894000000,0.265
915897600000,0.278
915901200000,0.296
915904800000,0.302
915908400000,0.302
915912000000,0.305
915915600000,0.25
915919200000,0.191
915922800000,0.164
915926400000,0.192
915930000000,0.233
915933600000,0.227
915937200000,0.212
915940800000,0.251
915944400000,0.323
915948000000,0.391
915951600000,0.416
915955200000,0.407
915958800000,0.373
915962400000,0.334
915966000000,0.284
915969600000,0.25
915973200000,0.231
915976800000,0.246
915980400000,0.31
915984000000,0.352
915987600000,0.321
915991200000,0.275
915994800000,0.259
915998400000,0.259
916002000000,0.274
916005600000,0.306
916009200000,0.317
916012800000,0.341
916016400000,0.362
916020000000,0.379
916023600000,0.362
916027200000,0.33
916030800000,0.324
916034400000,0.327
916038000000,0.312
916041600000,0.294
916045200000,0.281
916048800000,0.256
916052400000,0.219
916056000000,0.163
916059600000,0.127
916063200000,0.112
916066800000,0.104
916070400000,0.098
916074000000,0.092
916077600000,0.084
916081200000,0.076
916084800000,0.067
916088400000,0.058
916092000000,0.054
916095600000,0.048
916099200000,0.053
916102800000,0.053
916106400000,0.054
916110000000,0.053
916113600000,0.051
916117200000,0.048
916120800000,0.044
916124400000,0.044
916128000000,0.043
916131600000,0.044
916135200000,0.041
916138800000,0.039
916142400000,0.035
916146000000,0.031
916149600000,0.027
916153200000,0.022
916156800000,0.016
916160400000,0.013
916164000000,0.013
916167600000,0.014
916171200000,0.017
916174800000,0.02
916178400000,0.024
916182000000,0.028
916185600000,0.039
916189200000,0.047
916192800000,0.058
916196400000,0.072
916200000000,0.082
916203600000,0.083
916207200000,0.084
916210800000,0.098
916214400000,0.125
916218000000,0.16
916221600000,0.185
916225200000,0.201
916228800000,0.208
916232400000,0.198
916236000000,0.179
916239600000,0.167
916243200000,0.168
916246800000,0.187
916250400000,0.223
916254000000,0.252
916257600000,0.277
916261200000,0.278
916264800000,0.267
916268400000,0.241
916272000000,0.259
916275600000,0.286
916279200000,0.307
916282800000,0.318
916286400000,0.317
916290000000,0.302
916293600000,0.286
916297200000,0.27
916300800000,0.241
916304400000,0.251
916308000000,0.265
916311600000,0.295
916315200000,0.302
916318800000,0.304
916322400000,0.306
916326000000,0.307
916329600000,0.345
916333200000,0.404
916336800000,0.444
916340400000,0.459
916344000000,0.466
916347600000,0.442
916351200000,0.391
916354800000,0.345
916358400000,0.362
916362000000,0.337
916365600000,0.309
916369200000,0.293
916372800000,0.279
916376400000,0.257
916380000000,0.233
916383600000,0.206
916387200000,0.18
916390800000,0.182
916394400000,0.195
916398000000,0.207
916401600000,0.213
916405200000,0.214
916408800000,0.223
916412400000,0.231
916416000000,0.251
916419600000,0.259
916423200000,0.265
916426800000,0.278
916430400000,0.286
916434000000,0.259
916437600000,0.204
916441200000,0.192
916444800000,0.222
916448400000,0.251
916452000000,0.261
916455600000,0.278
916459200000,0.3
916462800000,0.314
916466400000,0.358
916470000000,0.379
916473600000,0.347
916477200000,0.343
916480800000,0.373
916484400000,0.379
916488000000,0.367
916491600000,0.405
916495200000,0.458
916498800000,0.45
916502400000,0.428
916506000000,0.396
916509600000,0.373
916513200000,0.344
916516800000,0.305
916520400000,0.306
916524000000,0.3
916527600000,0.32
916531200000,0.413
916534800000,0.485
916538400000,0.552
916542000000,0.599
916545600000,0.627
916549200000,0.624
916552800000,0.604
916556400000,0.565
916560000000,0.475
916563600000,0.395
916567200000,0.361
916570800000,0.348
916574400000,0.343
916578000000,0.388
916581600000,0.479
916585200000,0.514
916588800000,0.571
916592400000,0.629
916596000000,0.661
916599600000,0.733
916603200000,0.755
916606800000,0.765
916610400000,0.754
916614000000,0.777
916617600000,0.826
916621200000,0.84
916624800000,0.829
916628400000,0.805
916632000000,0.769
916635600000,0.707
916639200000,0.652
916642800000,0.592
916646400000,0.491
916650000000,0.413
916653600000,0.413
916657200000,0.471
916660800000,0.51
916664400000,0.523
916668000000,0.522
916671600000,0.474
916675200000,0.442
916678800000,0.479
916682400000,0.5
916686000000,0.518
916689600000,0.508
916693200000,0.49
916696800000,0.442
916700400000,0.494
916704000000,0.645
916707600000,0.781
916711200000,0.745
916714800000,0.714
916718400000,0.642
916722000000,0.527
916725600000,0.423
916729200000,0.361
916732800000,0.343
916736400000,0.429
916740000000,0.497
916743600000,0.534
916747200000,0.591
916750800000,0.649
916754400000,0.694
916758000000,0.685
916761600000,0.652
916765200000,0.632
916768800000,0.58
916772400000,0.58
916776000000,0.591
916779600000,0.566
916783200000,0.589
916786800000,0.615
916790400000,0.672
916794000000,0.683
916797600000,0.666
916801200000,0.63
916804800000,0.61
916808400000,0.623
916812000000,0.644
916815600000,0.677
916819200000,0.717
916822800000,0.73
916826400000,0.677
916830000000,0.615
916833600000,0.543
916837200000,0.471
916840800000,0.422
916844400000,0.408
916848000000,0.43
916851600000,0.444
916855200000,0.452
916858800000,0.467
916862400000,0.485
916866000000,0.491
916869600000,0.473
916873200000,0.521
916876800000,0.618
916880400000,0.652
916884000000,0.65
916887600000,0.633
916891200000,0.619
916894800000,0.6
916898400000,0.574
916902000000,0.531
916905600000,0.489
916909200000,0.498
916912800000,0.502
916916400000,0.516
916920000000,0.538
916923600000,0.555
916927200000,0.543
916930800000,0.525
916934400000,0.519
916938000000,0.498
916941600000,0.521
916945200000,0.536
916948800000,0.553
916952400000,0.571
916956000000,0.556
916959600000,0.59
916963200000,0.7
916966800000,0.783
916970400000,0.831
916974000000,0.847
916977600000,0.837
916981200000,0.809
916984800000,0.78
916988400000,0.753
916992000000,0.762
916995600000,0.739
916999200000,0.733
917002800000,0.746
917006400000,0.724
917010000000,0.692
917013600000,0.672
917017200000,0.661
917020800000,0.637
917024400000,0.613
917028000000,0.6
917031600000,0.586
917035200000,0.587
917038800000,0.601
917042400000,0.568
917046000000,0.618
917049600000,0.679
917053200000,0.716
917056800000,0.759
917060400000,0.783
917064000000,0.797
917067600000,0.801
917071200000,0.784
917074800000,0.739
917078400000,0.691
917082000000,0.658
917085600000,0.644
917089200000,0.626
917092800000,0.578
917096400000,0.538
917100000000,0.495
917103600000,0.461
917107200000,0.476
917110800000,0.519
917114400000,0.556
917118000000,0.581
917121600000,0.578
917125200000,0.574
917128800000,0.587
917132400000,0.646
917136000000,0.715
