,N1
694224000000,0.392
694227600000,0.542
694231200000,0.632
694234800000,0.668
694238400000,0.658
694242000000,0.58
694245600000,0.476
694249200000,0.327
694252800000,0.118
694256400000,0.0
694260000000,0.0
694263600000,0.0
694267200000,0.0
694270800000,0.0
694274400000,0.0
694278000000,0.0
694281600000,0.0
694285200000,0.0
694288800000,0.0
694292400000,0.0
694296000000,0.0
694299600000,0.0
694303200000,0.036
694306800000,0.212
694310400000,0.402
694314000000,0.521
694317600000,0.595
694321200000,0.631
694324800000,0.612
694328400000,0.554
694332000000,0.45
694335600000,0.291
694339200000,0.122
694342800000,0.0
694346400000,0.0
694350000000,0.0
694353600000,0.0
694357200000,0.0
694360800000,0.0
694364400000,0.0
694368000000,0.0
694371600000,0.0
694375200000,0.0
694378800000,0.0
694382400000,0.0
694386000000,0.0
694389600000,0.024
694393200000,0.183
694396800000,0.368
694400400000,0.497
694404000000,0.575
694407600000,0.644
694411200000,0.654
694414800000,0.6
694418400000,0.502
694422000000,0.345
694425600000,0.147
694429200000,0.0
694432800000,0.0
694436400000,0.0
694440000000,0.0
694443600000,0.0
694447200000,0.0
694450800000,0.0
694454400000,0.0
694458000000,0.0
694461600000,0.0
694465200000,0.0
694468800000,0.0
694472400000,0.0
694476000000,0.046
694479600000,0.248
694483200000,0.442
694486800000,0.582
694490400000,0.668
694494000000,0.703
694497600000,0.697
694501200000,0.625
694504800000,0.527
694508400000,0.359
694512000000,0.154
694515600000,0.0
694519200000,0.0
694522800000,0.0
694526400000,0.0
694530000000,0.0
694533600000,0.0
694537200000,0.0
694540800000,0.0
694544400000,0.0
694548000000,0.0
694551600000,0.0
694555200000,0.0
694558800000,0.0
694562400000,0.046
694566000000,0.247
694569600000,0.44
694573200000,0.581
694576800000,0.666
694580400000,0.698
694584000000,0.683
694587600000,0.615
694591200000,0.467
694594800000,0.295
694598400000,0.114
694602000000,0.0
694605600000,0.0
694609200000,0.0
694612800000,0.0
694616400000,0.0
694620000000,0.0
694623600000,0.0
694627200000,0.0
694630800000,0.0
694634400000,0.0
694638000000,0.0
694641600000,0.0
694645200000,0.0
694648800000,0.034
694652400000,0.207
694656000000,0.413
694659600000,0.547
694663200000,0.648
694666800000,0.684
694670400000,0.64
694674000000,0.583
694677600000,0.481
694681200000,0.327
694684800000,0.137
694688400000,0.0
694692000000,0.0
694695600000,0.0
694699200000,0.0
694702800000,0.0
694706400000,0.0
694710000000,0.0
694713600000,0.0
694717200000,0.0
694720800000,0.0
694724400000,0.0
694728000000,0.0
694731600000,0.0
694735200000,0.034
694738800000,0.207
694742400000,0.419
694746000000,0.561
694749600000,0.646
694753200000,0.678
694756800000,0.663
694760400000,0.6
694764000000,0.488
694767600000,0.314
694771200000,0.11
694774800000,0.0
694778400000,0.0
694782000000,0.0
694785600000,0.0
694789200000,0.0
694792800000,0.0
694796400000,0.0
694800000000,0.0
694803600000,0.0
694807200000,0.0
694810800000,0.0
694814400000,0.0
694818000000,0.0
694821600000,0.041
694825200000,0.228
694828800000,0.425
694832400000,0.565
694836000000,0.66
694839600000,0.699
694843200000,0.69
694846800000,0.629
694850400000,0.522
694854000000,0.347
694857600000,0.149
694861200000,0.0
694864800000,0.0
694868400000,0.0
694872000000,0.0
694875600000,0.0
694879200000,0.0
694882800000,0.0
694886400000,0.0
694890000000,0.0
694893600000,0.0
694897200000,0.0
694900800000,0.0
694904400000,0.0
694908000000,0.04
694911600000,0.224
694915200000,0.441
694918800000,0.588
694922400000,0.677
694926000000,0.715
694929600000,0.702
694933200000,0.643
694936800000,0.537
694940400000,0.375
694944000000,0.167
694947600000,0.001
694951200000,0.0
694954800000,0.0
694958400000,0.0
694962000000,0.0
694965600000,0.0
694969200000,0.0
694972800000,0.0
694976400000,0.0
694980000000,0.0
694983600000,0.0
694987200000,0.0
694990800000,0.0
694994400000,0.035
694998000000,0.197
695001600000,0.389
695005200000,0.52
695008800000,0.645
695012400000,0.682
695016000000,0.669
695019600000,0.614
695023200000,0.512
695026800000,0.356
695030400000,0.143
695034000000,0.0
695037600000,0.0
695041200000,0.0
695044800000,0.0
695048400000,0.0
695052000000,0.0
695055600000,0.0
695059200000,0.0
695062800000,0.0
695066400000,0.0
695070000000,0.0
695073600000,0.0
695077200000,0.0
695080800000,0.039
695084400000,0.224
695088000000,0.426
695091600000,0.562
695095200000,0.654
695098800000,0.688
695102400000,0.678
695106000000,0.613
695109600000,0.501
695113200000,0.324
695116800000,0.12
695120400000,0.0
695124000000,0.0
695127600000,0.0
695131200000,0.0
695134800000,0.0
695138400000,0.0
695142000000,0.0
695145600000,0.0
695149200000,0.0
695152800000,0.0
695156400000,0.0
