,B1
757382400000,0.412
757386000000,0.559
757389600000,0.647
757393200000,0.67
757396800000,0.664
757400400000,0.601
757404000000,0.489
757407600000,0.315
757411200000,0.122
757414800000,0.0
757418400000,0.0
757422000000,0.0
757425600000,0.0
757429200000,0.0
757432800000,0.0
757436400000,0.0
757440000000,0.0
757443600000,0.0
757447200000,0.0
757450800000,0.0
757454400000,0.0
757458000000,0.0
757461600000,0.061
757465200000,0.249
757468800000,0.452
757472400000,0.573
757476000000,0.652
757479600000,0.705
757483200000,0.675
757486800000,0.584
757490400000,0.455
757494000000,0.267
757497600000,0.108
757501200000,0.0
757504800000,0.0
757508400000,0.0
757512000000,0.0
757515600000,0.0
757519200000,0.0
757522800000,0.0
757526400000,0.0
757530000000,0.0
757533600000,0.0
757537200000,0.0
757540800000,0.0
757544400000,0.0
757548000000,0.04
757551600000,0.261
757555200000,0.458
757558800000,0.595
757562400000,0.679
757566000000,0.714
757569600000,0.694
757573200000,0.629
757576800000,0.514
757580400000,0.304
757584000000,0.115
757587600000,0.0
757591200000,0.0
757594800000,0.0
757598400000,0.0
757602000000,0.0
757605600000,0.0
757609200000,0.0
757612800000,0.0
757616400000,0.0
757620000000,0.0
757623600000,0.0
757627200000,0.0
757630800000,0.0
757634400000,0.059
757638000000,0.25
757641600000,0.425
757645200000,0.557
757648800000,0.643
757652400000,0.66
757656000000,0.672
757659600000,0.613
757663200000,0.496
757666800000,0.291
757670400000,0.105
757674000000,0.0
757677600000,0.0
757681200000,0.0
757684800000,0.0
757688400000,0.0
757692000000,0.0
757695600000,0.0
757699200000,0.0
757702800000,0.0
757706400000,0.0
757710000000,0.0
757713600000,0.0
757717200000,0.0
757720800000,0.01
757724400000,0.073
757728000000,0.175
757731600000,0.322
757735200000,0.351
757738800000,0.304
757742400000,0.256
757746000000,0.184
757749600000,0.146
757753200000,0.087
757756800000,0.02
757760400000,0.0
757764000000,0.0
757767600000,0.0
757771200000,0.0
757774800000,0.0
757778400000,0.0
757782000000,0.0
757785600000,0.0
757789200000,0.0
757792800000,0.0
757796400000,0.0
757800000000,0.0
757803600000,0.0
757807200000,0.006
757810800000,0.09
757814400000,0.232
757818000000,0.352
757821600000,0.472
757825200000,0.498
757828800000,0.461
757832400000,0.439
757836000000,0.383
757839600000,0.258
757843200000,0.093
757846800000,0.0
757850400000,0.0
757854000000,0.0
757857600000,0.0
757861200000,0.0
757864800000,0.0
757868400000,0.0
757872000000,0.0
757875600000,0.0
757879200000,0.0
757882800000,0.0
757886400000,0.0
757890000000,0.0
757893600000,0.023
757897200000,0.149
757900800000,0.322
757904400000,0.468
757908000000,0.571
757911600000,0.624
757915200000,0.616
757918800000,0.538
757922400000,0.432
757926000000,0.269
757929600000,0.103
757933200000,0.0
757936800000,0.0
757940400000,0.0
757944000000,0.0
757947600000,0.0
757951200000,0.0
757954800000,0.0
757958400000,0.0
757962000000,0.0
757965600000,0.0
757969200000,0.0
757972800000,0.0
757976400000,0.0
757980000000,0.042
757983600000,0.203
757987200000,0.394
757990800000,0.548
757994400000,0.65
757998000000,0.69
758001600000,0.678
758005200000,0.605
758008800000,0.489
758012400000,0.318
758016000000,0.125
758019600000,0.0
758023200000,0.0
758026800000,0.0
758030400000,0.0
758034000000,0.0
758037600000,0.0
758041200000,0.0
758044800000,0.0
758048400000,0.0
758052000000,0.0
758055600000,0.0
758059200000,0.0
758062800000,0.0
758066400000,0.058
758070000000,0.251
758073600000,0.438
758077200000,0.574
758080800000,0.657
758084400000,0.696
758088000000,0.673
758091600000,0.618
758095200000,0.504
758098800000,0.346
758102400000,0.131
758106000000,0.0
758109600000,0.0
758113200000,0.0
758116800000,0.0
758120400000,0.0
758124000000,0.0
758127600000,0.0
758131200000,0.0
758134800000,0.0
758138400000,0.0
758142000000,0.0
758145600000,0.0
758149200000,0.0
758152800000,0.083
758156400000,0.289
758160000000,0.478
758163600000,0.607
758167200000,0.696
758170800000,0.709
758174400000,0.705
758178000000,0.646
758181600000,0.532
758185200000,0.361
758188800000,0.141
758192400000,0.0
758196000000,0.0
758199600000,0.0
758203200000,0.0
758206800000,0.0
758210400000,0.0
758214000000,0.0
758217600000,0.0
758221200000,0.0
758224800000,0.0
758228400000,0.0
758232000000,0.0
758235600000,0.0
758239200000,0.071
758242800000,0.275
758246400000,0.484
758250000000,0.615
758253600000,0.696
758257200000,0.743
758260800000,0.727
758264400000,0.66
758268000000,0.516
758271600000,0.304
758275200000,0.099
758278800000,0.0
758282400000,0.0
758286000000,0.0
758289600000,0.0
758293200000,0.0
758296800000,0.0
758300400000,0.0
758304000000,0.0
758307600000,0.0
758311200000,0.0
758314800000,0.0
758318400000,0.0
758322000000,0.0
758325600000,0.072
758329200000,0.273
758332800000,0.453
758336400000,0.604
758340000000,0.667
758343600000,0.715
758347200000,0.701
758350800000,0.644
758354400000,0.529
758358000000,0.364
758361600000,0.16
758365200000,0.0
758368800000,0.0
758372400000,0.0
758376000000,0.0
758379600000,0.0
758383200000,0.0
758386800000,0.0
758390400000,0.0
758394000000,0.0
758397600000,0.0
758401200000,0.0
758404800000,0.0
758408400000,0.0
758412000000,0.064
758415600000,0.299
758419200000,0.485
758422800000,0.616
758426400000,0.7
758430000000,0.726
758433600000,0.719
758437200000,0.658
758440800000,0.54
758444400000,0.377
758448000000,0.163
758451600000,0.0
758455200000,0.0
758458800000,0.0
758462400000,0.0
758466000000,0.0
758469600000,0.0
758473200000,0.0
758476800000,0.0
758480400000,0.0
758484000000,0.0
758487600000,0.0
758491200000,0.0
758494800000,0.0
758498400000,0.059
758502000000,0.239
758505600000,0.429
758509200000,0.571
758512800000,0.662
758516400000,0.707
758520000000,0.696
758523600000,0.662
758527200000,0.546
758530800000,0.379
758534400000,0.146
758538000000,0.0
758541600000,0.0
758545200000,0.0
758548800000,0.0
758552400000,0.0
758556000000,0.0
758559600000,0.0
758563200000,0.0
758566800000,0.0
758570400000,0.0
758574000000,0.0
758577600000,0.0
758581200000,0.0
758584800000,0.055
758588400000,0.221
758592000000,0.407
758595600000,0.585
758599200000,0.695
758602800000,0.74
758606400000,0.725
758610000000,0.659
758613600000,0.543
758617200000,0.375
758620800000,0.135
758624400000,0.0
758628000000,0.0
758631600000,0.0
758635200000,0.0
758638800000,0.0
758642400000,0.0
758646000000,0.0
758649600000,0.0
758653200000,0.0
758656800000,0.0
758660400000,0.0
758664000000,0.0
758667600000,0.0
758671200000,0.069
758674800000,0.254
758678400000,0.453
758682000000,0.62
758685600000,0.701
758689200000,0.735
758692800000,0.72
758696400000,0.643
758700000000,0.549
758703600000,0.383
758707200000,0.155
758710800000,0.0
758714400000,0.0
758718000000,0.0
758721600000,0.0
758725200000,0.0
758728800000,0.0
758732400000,0.0
758736000000,0.0
758739600000,0.0
758743200000,0.0
758746800000,0.0
758750400000,0.0
758754000000,0.0
758757600000,0.079
758761200000,0.276
758764800000,0.455
758768400000,0.59
758772000000,0.677
758775600000,0.729
758779200000,0.722
758782800000,0.656
758786400000,0.519
758790000000,0.373
758793600000,0.141
758797200000,0.0
758800800000,0.0
758804400000,0.0
758808000000,0.0
758811600000,0.0
758815200000,0.0
758818800000,0.0
758822400000,0.0
