,S1
978307200000,0.222
978310800000,0.335
978314400000,0.457
978318000000,0.506
978321600000,0.467
978325200000,0.412
978328800000,0.341
978332400000,0.202
978336000000,0.059
978339600000,0.0
978343200000,0.0
978346800000,0.0
978350400000,0.0
978354000000,0.0
978357600000,0.0
978361200000,0.0
978364800000,0.0
978368400000,0.0
978372000000,0.0
978375600000,0.0
978379200000,0.0
978382800000,0.0
978386400000,0.035
978390000000,0.18
978393600000,0.343
978397200000,0.488
978400800000,0.599
978404400000,0.669
978408000000,0.653
978411600000,0.575
978415200000,0.424
978418800000,0.262
978422400000,0.09
978426000000,0.0
978429600000,0.0
978433200000,0.0
978436800000,0.0
978440400000,0.0
978444000000,0.0
978447600000,0.0
978451200000,0.0
978454800000,0.0
978458400000,0.0
978462000000,0.0
978465600000,0.0
978469200000,0.0
978472800000,0.047
978476400000,0.215
978480000000,0.377
978483600000,0.522
978487200000,0.612
978490800000,0.627
978494400000,0.612
978498000000,0.555
978501600000,0.457
978505200000,0.262
978508800000,0.082
978512400000,0.0
978516000000,0.0
978519600000,0.0
978523200000,0.0
978526800000,0.0
978530400000,0.0
978534000000,0.0
978537600000,0.0
978541200000,0.0
978544800000,0.0
978548400000,0.0
978552000000,0.0
978555600000,0.0
978559200000,0.031
978562800000,0.17
978566400000,0.321
978570000000,0.449
978573600000,0.512
978577200000,0.538
978580800000,0.556
978584400000,0.486
978588000000,0.373
978591600000,0.229
978595200000,0.074
978598800000,0.0
978602400000,0.0
978606000000,0.0
978609600000,0.0
978613200000,0.0
978616800000,0.0
978620400000,0.0
978624000000,0.0
978627600000,0.0
978631200000,0.0
978634800000,0.0
978638400000,0.0
978642000000,0.0
978645600000,0.038
978649200000,0.194
978652800000,0.353
978656400000,0.487
978660000000,0.538
978663600000,0.562
978667200000,0.551
978670800000,0.475
978674400000,0.353
978678000000,0.214
978681600000,0.061
978685200000,0.0
978688800000,0.0
978692400000,0.0
978696000000,0.0
978699600000,0.0
978703200000,0.0
978706800000,0.0
978710400000,0.0
978714000000,0.0
978717600000,0.0
978721200000,0.0
978724800000,0.0
978728400000,0.0
978732000000,0.022
978735600000,0.128
978739200000,0.231
978742800000,0.3
978746400000,0.344
978750000000,0.303
978753600000,0.263
978757200000,0.196
978760800000,0.132
978764400000,0.07
978768000000,0.016
978771600000,0.0
978775200000,0.0
978778800000,0.0
978782400000,0.0
978786000000,0.0
978789600000,0.0
978793200000,0.0
978796800000,0.0
978800400000,0.0
978804000000,0.0
978807600000,0.0
978811200000,0.0
978814800000,0.0
978818400000,0.022
978822000000,0.143
978825600000,0.314
978829200000,0.454
978832800000,0.539
978836400000,0.561
978840000000,0.556
978843600000,0.516
978847200000,0.419
978850800000,0.263
978854400000,0.093
978858000000,0.0
978861600000,0.0
978865200000,0.0
978868800000,0.0
978872400000,0.0
978876000000,0.0
978879600000,0.0
978883200000,0.0
978886800000,0.0
978890400000,0.0
978894000000,0.0
978897600000,0.0
978901200000,0.0
978904800000,0.031
978908400000,0.155
978912000000,0.303
978915600000,0.466
978919200000,0.543
978922800000,0.557
978926400000,0.549
978930000000,0.474
978933600000,0.383
978937200000,0.237
978940800000,0.076
978944400000,0.0
978948000000,0.0
978951600000,0.0
978955200000,0.0
978958800000,0.0
978962400000,0.0
978966000000,0.0
978969600000,0.0
978973200000,0.0
978976800000,0.0
978980400000,0.0
978984000000,0.0
978987600000,0.0
978991200000,0.034
978994800000,0.171
978998400000,0.333
979002000000,0.481
