,Py1
1167609600000,0.302
1167613200000,0.42
1167616800000,0.497
1167620400000,0.533
1167624000000,0.502
1167627600000,0.417
1167631200000,0.279
1167634800000,0.153
1167638400000,0.051
1167642000000,0.0
1167645600000,0.0
1167649200000,0.0
1167652800000,0.0
1167656400000,0.0
1167660000000,0.0
1167663600000,0.0
1167667200000,0.0
1167670800000,0.0
1167674400000,0.0
1167678000000,0.0
1167681600000,0.0
1167685200000,0.0
1167688800000,0.024
1167692400000,0.179
1167696000000,0.317
1167699600000,0.394
1167703200000,0.366
1167706800000,0.257
1167710400000,0.196
1167714000000,0.161
1167717600000,0.137
1167721200000,0.125
1167724800000,0.07
1167728400000,0.0
1167732000000,0.0
1167735600000,0.0
1167739200000,0.0
1167742800000,0.0
1167746400000,0.0
1167750000000,0.0
1167753600000,0.0
1167757200000,0.0
1167760800000,0.0
1167764400000,0.0
1167768000000,0.0
1167771600000,0.0
1167775200000,0.009
1167778800000,0.101
1167782400000,0.211
1167786000000,0.28
1167789600000,0.303
1167793200000,0.311
1167796800000,0.332
1167800400000,0.34
1167804000000,0.31
1167807600000,0.236
1167811200000,0.102
1167814800000,0.0
1167818400000,0.0
1167822000000,0.0
1167825600000,0.0
1167829200000,0.0
1167832800000,0.0
1167836400000,0.0
1167840000000,0.0
1167843600000,0.0
1167847200000,0.0
1167850800000,0.0
1167854400000,0.0
1167858000000,0.0
1167861600000,0.021
1167865200000,0.156
1167868800000,0.321
1167872400000,0.475
1167876000000,0.574
1167879600000,0.596
1167883200000,0.556
1167886800000,0.52
1167890400000,0.437
1167894000000,0.287
1167897600000,0.105
1167901200000,0.0
1167904800000,0.0
1167908400000,0.0
1167912000000,0.0
1167915600000,0.0
1167919200000,0.0
1167922800000,0.0
1167926400000,0.0
1167930000000,0.0
1167933600000,0.0
1167937200000,0.0
1167940800000,0.0
1167944400000,0.0
1167948000000,0.037
1167951600000,0.235
1167955200000,0.436
1167958800000,0.578
1167962400000,0.667
1167966000000,0.701
1167969600000,0.687
1167973200000,0.62
1167976800000,0.506
1167980400000,0.346
1167984000000,0.145
1167987600000,0.0
1167991200000,0.0
1167994800000,0.0
1167998400000,0.0
1168002000000,0.0
1168005600000,0.0
1168009200000,0.0
1168012800000,0.0
1168016400000,0.0
1168020000000,0.0
1168023600000,0.0
1168027200000,0.0
1168030800000,0.0
1168034400000,0.037
1168038000000,0.227
1168041600000,0.398
1168045200000,0.52
1168048800000,0.594
1168052400000,0.609
1168056000000,0.611
1168059600000,0.529
1168063200000,0.397
1168066800000,0.24
1168070400000,0.074
1168074000000,0.0
1168077600000,0.0
1168081200000,0.0
1168084800000,0.0
1168088400000,0.0
1168092000000,0.0
1168095600000,0.0
1168099200000,0.0
1168102800000,0.0
1168106400000,0.0
1168110000000,0.0
1168113600000,0.0
1168117200000,0.0
1168120800000,0.037
1168124400000,0.224
1168128000000,0.41
1168131600000,0.551
1168135200000,0.651
1168138800000,0.686
1168142400000,0.674
1168146000000,0.617
1168149600000,0.508
1168153200000,0.344
1168156800000,0.144
1168160400000,0.0
1168164000000,0.0
1168167600000,0.0
1168171200000,0.0
1168174800000,0.0
1168178400000,0.0
1168182000000,0.0
1168185600000,0.0
1168189200000,0.0
1168192800000,0.0
1168196400000,0.0
1168200000000,0.0
1168203600000,0.0
1168207200000,0.035
1168210800000,0.21
1168214400000,0.367
1168218000000,0.48
1168221600000,0.528
1168225200000,0.498
1168228800000,0.396
1168232400000,0.283
1168236000000,0.177
1168239600000,0.087
1168243200000,0.027
1168246800000,0.0
1168250400000,0.0
1168254000000,0.0
1168257600000,0.0
1168261200000,0.0
1168264800000,0.0
1168268400000,0.0
1168272000000,0.0
1168275600000,0.0
1168279200000,0.0
1168282800000,0.0
1168286400000,0.0
1168290000000,0.0
1168293600000,0.009
1168297200000,0.098
1168300800000,0.246
1168304400000,0.406
1168308000000,0.534
1168311600000,0.612
1168315200000,0.599
1168318800000,0.549
1168322400000,0.445
1168326000000,0.295
1168329600000,0.115
1168333200000,0.0
1168336800000,0.0
1168340400000,0.0
1168344000000,0.0
1168347600000,0.0
1168351200000,0.0
1168354800000,0.0
1168358400000,0.0
1168362000000,0.0
1168365600000,0.0
1168369200000,0.0
1168372800000,0.0
1168376400000,0.0
1168380000000,0.007
1168383600000,0.076
1168387200000,0.162
1168390800000,0.287
1168394400000,0.346
1168398000000,0.396
1168401600000,0.451
1168405200000,0.405
