,V1
662688000000,0.167
662691600000,0.179
662695200000,0.185
662698800000,0.188
662702400000,0.199
662706000000,0.213
662709600000,0.236
662713200000,0.258
662716800000,0.231
662720400000,0.202
662724000000,0.225
662727600000,0.241
662731200000,0.252
662734800000,0.256
662738400000,0.271
662742000000,0.316
662745600000,0.368
662749200000,0.404
662752800000,0.438
662756400000,0.44
662760000000,0.444
662763600000,0.422
662767200000,0.395
662770800000,0.448
662774400000,0.56
662778000000,0.621
662781600000,0.668
662785200000,0.718
662788800000,0.759
662792400000,0.781
662796000000,0.784
662799600000,0.766
662803200000,0.672
662806800000,0.583
662810400000,0.569
662814000000,0.578
662817600000,0.59
662821200000,0.578
662824800000,0.619
662828400000,0.636
662832000000,0.637
662835600000,0.633
662839200000,0.672
662842800000,0.701
662846400000,0.713
662850000000,0.731
662853600000,0.747
662857200000,0.758
662860800000,0.857
662864400000,0.882
662868000000,0.87
662871600000,0.849
662875200000,0.827
662878800000,0.794
662882400000,0.757
662886000000,0.712
662889600000,0.619
662893200000,0.56
662896800000,0.572
662900400000,0.608
662904000000,0.64
662907600000,0.654
662911200000,0.657
662914800000,0.645
662918400000,0.617
662922000000,0.615
662925600000,0.624
662929200000,0.611
662932800000,0.595
662936400000,0.594
662940000000,0.585
662943600000,0.593
662947200000,0.77
662950800000,0.795
662954400000,0.777
662958000000,0.76
662961600000,0.752
662965200000,0.744
662968800000,0.739
662972400000,0.73
662976000000,0.655
662979600000,0.559
662983200000,0.547
662986800000,0.566
662990400000,0.564
662994000000,0.568
662997600000,0.558
663001200000,0.516
663004800000,0.492
663008400000,0.471
663012000000,0.444
663015600000,0.442
663019200000,0.445
663022800000,0.443
663026400000,0.425
663030000000,0.447
663033600000,0.511
663037200000,0.523
663040800000,0.509
663044400000,0.491
663048000000,0.472
663051600000,0.461
663055200000,0.469
663058800000,0.488
663062400000,0.455
663066000000,0.395
663069600000,0.387
663073200000,0.42
663076800000,0.484
663080400000,0.529
663084000000,0.547
663087600000,0.552
663091200000,0.553
663094800000,0.528
663098400000,0.512
663102000000,0.501
663105600000,0.474
663109200000,0.455
663112800000,0.425
663116400000,0.466
663120000000,0.63
663123600000,0.701
663127200000,0.715
663130800000,0.704
663134400000,0.688
663138000000,0.672
663141600000,0.655
663145200000,0.639
663148800000,0.571
663152400000,0.498
663156000000,0.513
663159600000,0.556
663163200000,0.599
663166800000,0.614
663170400000,0.608
663174000000,0.635
663177600000,0.638
663181200000,0.599
663184800000,0.58
663188400000,0.532
663192000000,0.504
663195600000,0.468
663199200000,0.407
