,S1
946684800000,0.692
946688400000,0.8
946692000000,0.822
946695600000,0.82
946699200000,0.795
946702800000,0.748
946706400000,0.69
946710000000,0.63
946713600000,0.547
946717200000,0.501
946720800000,0.478
946724400000,0.479
946728000000,0.497
946731600000,0.508
946735200000,0.506
946738800000,0.498
946742400000,0.491
946746000000,0.494
946749600000,0.494
946753200000,0.505
946756800000,0.51
946760400000,0.537
946764000000,0.535
946767600000,0.464
946771200000,0.502
946774800000,0.518
946778400000,0.479
946782000000,0.435
946785600000,0.417
946789200000,0.425
946792800000,0.416
946796400000,0.388
946800000000,0.381
946803600000,0.4
946807200000,0.412
946810800000,0.442
946814400000,0.453
946818000000,0.481
946821600000,0.514
946825200000,0.516
946828800000,0.507
946832400000,0.504
946836000000,0.502
946839600000,0.502
946843200000,0.507
946846800000,0.53
946850400000,0.556
946854000000,0.53
946857600000,0.58
946861200000,0.647
946864800000,0.682
946868400000,0.669
946872000000,0.644
946875600000,0.621
946879200000,0.59
946882800000,0.556
946886400000,0.559
946890000000,0.578
946893600000,0.609
946897200000,0.65
946900800000,0.666
946904400000,0.674
946908000000,0.698
946911600000,0.668
946915200000,0.642
946918800000,0.63
946922400000,0.603
946926000000,0.568
946929600000,0.544
946933200000,0.535
946936800000,0.516
946940400000,0.437
946944000000,0.501
946947600000,0.624
946951200000,0.623
946954800000,0.593
946958400000,0.563
946962000000,0.548
946965600000,0.53
946969200000,0.504
946972800000,0.485
946976400000,0.542
946980000000,0.59
946983600000,0.62
946987200000,0.634
946990800000,0.642
946994400000,0.644
946998000000,0.645
947001600000,0.646
947005200000,0.646
947008800000,0.651
947012400000,0.649
947016000000,0.646
947019600000,0.631
947023200000,0.591
947026800000,0.479
947030400000,0.577
947034000000,0.642
947037600000,0.651
947041200000,0.627
947044800000,0.591
947048400000,0.551
947052000000,0.509
947055600000,0.45
947059200000,0.39
947062800000,0.399
947066400000,0.388
947070000000,0.397
947073600000,0.398
947077200000,0.381
947080800000,0.367
947084400000,0.366
947088000000,0.346
947091600000,0.32
947095200000,0.291
947098800000,0.266
947102400000,0.256
947106000000,0.256
947109600000,0.245
947113200000,0.202
947116800000,0.278
947120400000,0.343
947124000000,0.355
947127600000,0.341
947131200000,0.318
947134800000,0.286
947138400000,0.255
947142000000,0.209
947145600000,0.17
947149200000,0.188
947152800000,0.206
947156400000,0.212
947160000000,0.21
947163600000,0.195
947167200000,0.176
947170800000,0.165
947174400000,0.153
947178000000,0.133
947181600000,0.115
947185200000,0.099
947188800000,0.09
947192400000,0.088
947196000000,0.093
947199600000,0.092
947203200000,0.134
947206800000,0.164
947210400000,0.181
947214000000,0.19
947217600000,0.186
947221200000,0.179
947224800000,0.179
947228400000,0.183
947232000000,0.192
947235600000,0.236
947239200000,0.253
947242800000,0.265
947246400000,0.277
947250000000,0.284
947253600000,0.28
947257200000,0.264
947260800000,0.241
947264400000,0.227
947268000000,0.235
947271600000,0.267
947275200000,0.315
947278800000,0.364
947282400000,0.393
947286000000,0.355
947289600000,0.415
947293200000,0.447
947296800000,0.432
947300400000,0.398
