,Py1
978307200000,0.833
978310800000,0.83
978314400000,0.799
978318000000,0.76
978321600000,0.714
978325200000,0.676
978328800000,0.658
978332400000,0.644
978336000000,0.635
978339600000,0.664
978343200000,0.702
978346800000,0.739
978350400000,0.75
978354000000,0.736
978357600000,0.718
978361200000,0.684
978364800000,0.657
978368400000,0.644
978372000000,0.63
978375600000,0.606
978379200000,0.574
978382800000,0.555
978386400000,0.534
978390000000,0.485
978393600000,0.466
978397200000,0.408
978400800000,0.348
978404400000,0.287
978408000000,0.236
978411600000,0.204
978415200000,0.187
978418800000,0.185
978422400000,0.194
978426000000,0.237
978429600000,0.312
978433200000,0.398
978436800000,0.491
978440400000,0.562
978444000000,0.594
978447600000,0.563
978451200000,0.499
978454800000,0.432
978458400000,0.386
978462000000,0.378
978465600000,0.388
978469200000,0.42
978472800000,0.452
978476400000,0.464
978480000000,0.513
978483600000,0.499
978487200000,0.467
978490800000,0.416
978494400000,0.361
978498000000,0.314
978501600000,0.281
978505200000,0.259
978508800000,0.237
978512400000,0.273
978516000000,0.358
978519600000,0.449
978523200000,0.522
978526800000,0.56
978530400000,0.575
978534000000,0.572
978537600000,0.562
978541200000,0.548
978544800000,0.525
978548400000,0.492
978552000000,0.463
978555600000,0.473
978559200000,0.472
978562800000,0.465
978566400000,0.552
978570000000,0.602
978573600000,0.616
978577200000,0.601
978580800000,0.558
978584400000,0.508
978588000000,0.468
978591600000,0.435
978595200000,0.378
978598800000,0.381
978602400000,0.484
978606000000,0.55
978609600000,0.599
978613200000,0.615
978616800000,0.598
978620400000,0.574
978624000000,0.574
978627600000,0.561
978631200000,0.576
978634800000,0.607
978638400000,0.634
978642000000,0.636
978645600000,0.615
978649200000,0.63
978652800000,0.726
978656400000,0.757
978660000000,0.762
978663600000,0.74
978667200000,0.707
978670800000,0.684
978674400000,0.69
978678000000,0.685
978681600000,0.644
978685200000,0.633
978688800000,0.668
978692400000,0.674
978696000000,0.649
978699600000,0.613
978703200000,0.567
978706800000,0.543
978710400000,0.526
978714000000,0.498
978717600000,0.479
978721200000,0.459
978724800000,0.428
978728400000,0.403
978732000000,0.397
978735600000,0.398
978739200000,0.494
978742800000,0.519
978746400000,0.505
978750000000,0.469
978753600000,0.415
978757200000,0.347
978760800000,0.283
978764400000,0.224
978768000000,0.193
978771600000,0.231
978775200000,0.27
978778800000,0.294
978782400000,0.3
978786000000,0.294
978789600000,0.289
978793200000,0.286
978796800000,0.303
978800400000,0.317
978804000000,0.325
978807600000,0.323
978811200000,0.291
978814800000,0.227
978818400000,0.18
978822000000,0.132
978825600000,0.105
978829200000,0.102
978832800000,0.112
978836400000,0.118
978840000000,0.107
978843600000,0.091
978847200000,0.085
978850800000,0.079
978854400000,0.071
978858000000,0.09
978861600000,0.121
978865200000,0.155
978868800000,0.195
978872400000,0.238
978876000000,0.275
978879600000,0.281
978883200000,0.26
978886800000,0.247
978890400000,0.253
978894000000,0.264
978897600000,0.288
978901200000,0.294
978904800000,0.291
978908400000,0.278
978912000000,0.311
978915600000,0.31
978919200000,0.259
978922800000,0.203
978926400000,0.164
978930000000,0.133
978933600000,0.113
978937200000,0.099
978940800000,0.082
978944400000,0.086
978948000000,0.112
978951600000,0.155
978955200000,0.223
978958800000,0.284
978962400000,0.339
978966000000,0.347
978969600000,0.335
978973200000,0.334
978976800000,0.349
978980400000,0.385
978984000000,0.414
978987600000,0.428
978991200000,0.43
978994800000,0.402
978998400000,0.422
979002000000,0.407
979005600000,0.343
979009200000,0.297
979012800000,0.261
979016400000,0.238
979020000000,0.234
979023600000,0.242
979027200000,0.236
979030800000,0.277
979034400000,0.329
979038000000,0.374
979041600000,0.391
979045200000,0.398
979048800000,0.388
979052400000,0.358
979056000000,0.323
979059600000,0.296
979063200000,0.287
979066800000,0.294
979070400000,0.319
979074000000,0.337
979077600000,0.335
979081200000,0.32
979084800000,0.318
979088400000,0.29
979092000000,0.259
979095600000,0.241
979099200000,0.231
979102800000,0.208
979106400000,0.168
979110000000,0.121
979113600000,0.09
979117200000,0.09
979120800000,0.103
979124400000,0.111
979128000000,0.112
979131600000,0.108
979135200000,0.102
979138800000,0.101
979142400000,0.103
979146000000,0.105
979149600000,0.108
979153200000,0.113
979156800000,0.119
979160400000,0.123
979164000000,0.12
979167600000,0.096
