,B1
1041379200000,0.463
1041382800000,0.434
1041386400000,0.393
1041390000000,0.336
1041393600000,0.305
1041397200000,0.325
1041400800000,0.325
1041404400000,0.32
1041408000000,0.311
1041411600000,0.32
1041415200000,0.344
1041418800000,0.379
1041422400000,0.404
1041426000000,0.431
1041429600000,0.455
1041433200000,0.465
1041436800000,0.479
1041440400000,0.485
1041444000000,0.479
1041447600000,0.474
1041451200000,0.47
1041454800000,0.47
1041458400000,0.472
1041462000000,0.485
1041465600000,0.556
1041469200000,0.646
1041472800000,0.678
1041476400000,0.697
1041480000000,0.71
1041483600000,0.726
1041487200000,0.75
1041490800000,0.77
1041494400000,0.758
1041498000000,0.737
1041501600000,0.69
1041505200000,0.665
1041508800000,0.633
1041512400000,0.606
1041516000000,0.566
1041519600000,0.491
1041523200000,0.469
1041526800000,0.491
1041530400000,0.525
1041534000000,0.525
1041537600000,0.538
1041541200000,0.58
1041544800000,0.615
1041548400000,0.705
1041552000000,0.82
1041555600000,0.856
1041559200000,0.856
1041562800000,0.829
1041566400000,0.773
1041570000000,0.707
1041573600000,0.636
1041577200000,0.54
1041580800000,0.429
1041584400000,0.388
1041588000000,0.43
1041591600000,0.484
1041595200000,0.523
1041598800000,0.526
1041602400000,0.525
1041606000000,0.525
1041609600000,0.523
1041613200000,0.516
1041616800000,0.527
1041620400000,0.607
1041624000000,0.705
1041627600000,0.735
1041631200000,0.68
1041634800000,0.687
1041638400000,0.708
1041642000000,0.71
1041645600000,0.718
1041649200000,0.766
1041652800000,0.785
1041656400000,0.778
1041660000000,0.795
1041663600000,0.811
1041667200000,0.821
1041670800000,0.802
1041674400000,0.746
1041678000000,0.605
1041681600000,0.503
1041685200000,0.434
1041688800000,0.432
1041692400000,0.462
1041696000000,0.468
1041699600000,0.469
1041703200000,0.479
1041706800000,0.484
1041710400000,0.465
1041714000000,0.438
1041717600000,0.43
1041721200000,0.46
1041724800000,0.58
1041728400000,0.672
1041732000000,0.71
1041735600000,0.729
1041739200000,0.735
1041742800000,0.725
1041746400000,0.707
1041750000000,0.663
1041753600000,0.586
1041757200000,0.529
1041760800000,0.487
1041764400000,0.459
1041768000000,0.458
1041771600000,0.464
1041775200000,0.464
1041778800000,0.453
1041782400000,0.484
1041786000000,0.516
1041789600000,0.552
1041793200000,0.591
1041796800000,0.61
1041800400000,0.599
1041804000000,0.576
1041807600000,0.617
1041811200000,0.734
1041814800000,0.82
1041818400000,0.865
1041822000000,0.882
1041825600000,0.881
1041829200000,0.878
1041832800000,0.857
1041836400000,0.803
1041840000000,0.711
1041843600000,0.646
1041847200000,0.642
1041850800000,0.623
1041854400000,0.619
1041858000000,0.601
1041861600000,0.584
1041865200000,0.571
1041868800000,0.548
1041872400000,0.53
1041876000000,0.506
1041879600000,0.494
1041883200000,0.485
1041886800000,0.479
1041890400000,0.483
1041894000000,0.505
1041897600000,0.556
1041901200000,0.618
1041904800000,0.656
1041908400000,0.639
1041912000000,0.597
1041915600000,0.558
1041919200000,0.526
1041922800000,0.483
1041926400000,0.434
1041930000000,0.419
1041933600000,0.441
1041937200000,0.459
1041940800000,0.484
1041944400000,0.487
1041948000000,0.425
1041951600000,0.318
1041955200000,0.282
1041958800000,0.277
1041962400000,0.265
1041966000000,0.267
1041969600000,0.273
1041973200000,0.279
1041976800000,0.295
1041980400000,0.311
1041984000000,0.341
1041987600000,0.388
1041991200000,0.433
1041994800000,0.437
1041998400000,0.401
1042002000000,0.364
1042005600000,0.337
1042009200000,0.294
1042012800000,0.241
1042016400000,0.208
1042020000000,0.192
1042023600000,0.192
1042027200000,0.193
1042030800000,0.192
1042034400000,0.208
1042038000000,0.254
1042041600000,0.29
1042045200000,0.311
1042048800000,0.331
1042052400000,0.352
1042056000000,0.363
1042059600000,0.376
1042063200000,0.366
1042066800000,0.396
1042070400000,0.5
1042074000000,0.58
1042077600000,0.639
1042081200000,0.692
1042084800000,0.725
1042088400000,0.739
1042092000000,0.743
1042095600000,0.723
1042099200000,0.646
1042102800000,0.547
1042106400000,0.456
1042110000000,0.371
1042113600000,0.279
1042117200000,0.209
1042120800000,0.172
1042124400000,0.161
1042128000000,0.165
1042131600000,0.179
1042135200000,0.227
1042138800000,0.311
1042142400000,0.399
1042146000000,0.444
1042149600000,0.439
1042153200000,0.485
1042156800000,0.591
1042160400000,0.6
1042164000000,0.572
1042167600000,0.522
1042171200000,0.454
1042174800000,0.397
1042178400000,0.36
1042182000000,0.331
1042185600000,0.286
1042189200000,0.258
1042192800000,0.268
1042196400000,0.289
1042200000000,0.285
1042203600000,0.261
1042207200000,0.256
1042210800000,0.227
1042214400000,0.201
1042218000000,0.188
1042221600000,0.188
1042225200000,0.207
1042228800000,0.231
1042232400000,0.259
1042236000000,0.289
1042239600000,0.291
1042243200000,0.289
1042246800000,0.269
1042250400000,0.245
1042254000000,0.233
1042257600000,0.229
1042261200000,0.234
1042264800000,0.255
1042268400000,0.286
1042272000000,0.328
1042275600000,0.386
1042279200000,0.444
1042282800000,0.457
1042286400000,0.433
1042290000000,0.415
1042293600000,0.407
1042297200000,0.396
1042300800000,0.376
1042304400000,0.364
1042308000000,0.391
1042311600000,0.449
1042315200000,0.499
1042318800000,0.523
