,N1
1451606400000,0.493
1451610000000,0.584
1451613600000,0.626
1451617200000,0.65
1451620800000,0.675
1451624400000,0.698
1451628000000,0.711
1451631600000,0.7
1451635200000,0.625
1451638800000,0.539
1451642400000,0.515
1451646000000,0.488
1451649600000,0.468
1451653200000,0.472
1451656800000,0.459
1451660400000,0.476
1451664000000,0.479
1451667600000,0.461
1451671200000,0.445
1451674800000,0.43
1451678400000,0.422
1451682000000,0.398
1451685600000,0.348
1451689200000,0.396
1451692800000,0.481
1451696400000,0.529
1451700000000,0.553
1451703600000,0.574
1451707200000,0.578
1451710800000,0.576
1451714400000,0.572
1451718000000,0.568
1451721600000,0.508
1451725200000,0.447
1451728800000,0.476
1451732400000,0.495
1451736000000,0.466
1451739600000,0.386
1451743200000,0.367
1451746800000,0.391
1451750400000,0.427
1451754000000,0.444
1451757600000,0.447
1451761200000,0.433
1451764800000,0.41
1451768400000,0.38
1451772000000,0.332
1451775600000,0.434
1451779200000,0.548
1451782800000,0.586
1451786400000,0.609
1451790000000,0.623
1451793600000,0.623
1451797200000,0.618
1451800800000,0.605
1451804400000,0.591
1451808000000,0.523
1451811600000,0.407
1451815200000,0.41
1451818800000,0.466
1451822400000,0.462
1451826000000,0.444
1451829600000,0.451
1451833200000,0.459
1451836800000,0.466
1451840400000,0.482
1451844000000,0.509
1451847600000,0.535
1451851200000,0.539
1451854800000,0.552
1451858400000,0.535
1451862000000,0.578
1451865600000,0.638
1451869200000,0.633
1451872800000,0.59
1451876400000,0.538
1451880000000,0.489
1451883600000,0.442
1451887200000,0.4
1451890800000,0.359
1451894400000,0.306
1451898000000,0.257
1451901600000,0.25
1451905200000,0.251
1451908800000,0.251
1451912400000,0.248
1451916000000,0.251
1451919600000,0.258
1451923200000,0.259
1451926800000,0.277
1451930400000,0.298
1451934000000,0.32
1451937600000,0.364
1451941200000,0.373
1451944800000,0.353
1451948400000,0.315
1451952000000,0.375
1451955600000,0.376
1451959200000,0.346
1451962800000,0.332
1451966400000,0.314
1451970000000,0.278
1451973600000,0.243
1451977200000,0.214
1451980800000,0.192
1451984400000,0.171
1451988000000,0.167
1451991600000,0.167
1451995200000,0.186
1451998800000,0.233
1452002400000,0.257
1452006000000,0.264
1452009600000,0.294
1452013200000,0.285
1452016800000,0.277
1452020400000,0.285
1452024000000,0.309
1452027600000,0.318
1452031200000,0.287
1452034800000,0.292
1452038400000,0.276
1452042000000,0.234
1452045600000,0.204
1452049200000,0.206
1452052800000,0.223
1452056400000,0.225
1452060000000,0.213
1452063600000,0.188
1452067200000,0.153
1452070800000,0.114
1452074400000,0.096
1452078000000,0.09
1452081600000,0.095
1452085200000,0.112
1452088800000,0.151
1452092400000,0.204
1452096000000,0.233
1452099600000,0.26
1452103200000,0.241
1452106800000,0.243
1452110400000,0.243
1452114000000,0.249
1452117600000,0.233
1452121200000,0.24
1452124800000,0.253
1452128400000,0.258
1452132000000,0.259
1452135600000,0.259
1452139200000,0.244
1452142800000,0.218
1452146400000,0.192
1452150000000,0.177
1452153600000,0.17
1452157200000,0.17
1452160800000,0.179
1452164400000,0.162
1452168000000,0.169
1452171600000,0.199
1452175200000,0.241
1452178800000,0.264
1452182400000,0.272
1452186000000,0.25
1452189600000,0.236
1452193200000,0.228
1452196800000,0.231
1452200400000,0.241
1452204000000,0.243
1452207600000,0.256
1452211200000,0.272
1452214800000,0.279
1452218400000,0.294
1452222000000,0.312
1452225600000,0.32
1452229200000,0.311
1452232800000,0.298
1452236400000,0.282
1452240000000,0.251
1452243600000,0.178
1452247200000,0.119
1452250800000,0.092
1452254400000,0.087
1452258000000,0.099
1452261600000,0.126
1452265200000,0.17
1452268800000,0.188
1452272400000,0.18
1452276000000,0.176
1452279600000,0.187
1452283200000,0.22
1452286800000,0.252
1452290400000,0.264
1452294000000,0.293
1452297600000,0.314
1452301200000,0.334
1452304800000,0.355
1452308400000,0.408
1452312000000,0.459
1452315600000,0.444
1452319200000,0.422
1452322800000,0.425
1452326400000,0.415
1452330000000,0.334
1452333600000,0.317
1452337200000,0.305
1452340800000,0.362
1452344400000,0.451
1452348000000,0.482
1452351600000,0.497
1452355200000,0.506
1452358800000,0.47
1452362400000,0.454
1452366000000,0.46
1452369600000,0.464
1452373200000,0.459
1452376800000,0.453
1452380400000,0.615
1452384000000,0.682
1452387600000,0.718
1452391200000,0.743
1452394800000,0.74
1452398400000,0.712
1452402000000,0.674
1452405600000,0.635
1452409200000,0.597
1452412800000,0.536
1452416400000,0.376
1452420000000,0.331
1452423600000,0.357
1452427200000,0.422
1452430800000,0.492
1452434400000,0.491
1452438000000,0.463
1452441600000,0.419
1452445200000,0.381
1452448800000,0.342
1452452400000,0.308
1452456000000,0.265
1452459600000,0.233
1452463200000,0.196
1452466800000,0.22
1452470400000,0.251
1452474000000,0.241
1452477600000,0.212
1452481200000,0.2
1452484800000,0.192
1452488400000,0.175
1452492000000,0.151
1452495600000,0.124
1452499200000,0.098
1452502800000,0.083
1452506400000,0.073
1452510000000,0.064
1452513600000,0.056
1452517200000,0.049
1452520800000,0.046
1452524400000,0.046
1452528000000,0.049
1452531600000,0.056
1452535200000,0.067
1452538800000,0.087
1452542400000,0.117
1452546000000,0.118
1452549600000,0.098
1452553200000,0.089
1452556800000,0.095
1452560400000,0.091
1452564000000,0.095
1452567600000,0.115
1452571200000,0.144
1452574800000,0.168
1452578400000,0.19
1452582000000,0.202
1452585600000,0.197
1452589200000,0.169
1452592800000,0.156
1452596400000,0.141
1452600000000,0.153
1452603600000,0.207
1452607200000,0.274
1452610800000,0.298
1452614400000,0.287
1452618000000,0.27
1452621600000,0.251
1452625200000,0.243
1452628800000,0.245
1452632400000,0.235
1452636000000,0.179
1452639600000,0.191
1452643200000,0.231
1452646800000,0.255
1452650400000,0.264
1452654000000,0.273
1452657600000,0.284
1452661200000,0.284
1452664800000,0.279
1452668400000,0.272
1452672000000,0.253
1452675600000,0.192
1452679200000,0.167
1452682800000,0.152
1452686400000,0.142
1452690000000,0.148
1452693600000,0.163
1452697200000,0.196
1452700800000,0.23
1452704400000,0.251
1452708000000,0.269
1452711600000,0.306
1452715200000,0.341
1452718800000,0.337
1452722400000,0.291
1452726000000,0.31
1452729600000,0.314
1452733200000,0.332
1452736800000,0.355
1452740400000,0.374
1452744000000,0.366
1452747600000,0.334
1452751200000,0.311
