,Mn2
883612800000,0.656
883616400000,0.656
883620000000,0.594
883623600000,0.526
883627200000,0.466
883630800000,0.416
883634400000,0.391
883638000000,0.376
883641600000,0.367
883645200000,0.337
883648800000,0.364
883652400000,0.386
883656000000,0.414
883659600000,0.423
883663200000,0.431
883666800000,0.41
883670400000,0.4
883674000000,0.379
883677600000,0.359
883681200000,0.367
883684800000,0.381
883688400000,0.4
883692000000,0.39
883695600000,0.538
883699200000,0.528
883702800000,0.434
883706400000,0.335
883710000000,0.277
883713600000,0.251
883717200000,0.252
883720800000,0.29
883724400000,0.357
883728000000,0.432
883731600000,0.466
883735200000,0.468
883738800000,0.495
883742400000,0.53
883746000000,0.583
883749600000,0.606
883753200000,0.588
883756800000,0.541
883760400000,0.523
883764000000,0.538
883767600000,0.544
883771200000,0.547
883774800000,0.522
883778400000,0.454
883782000000,0.541
883785600000,0.552
883789200000,0.436
883792800000,0.308
883796400000,0.226
883800000000,0.179
883803600000,0.147
883807200000,0.133
883810800000,0.134
883814400000,0.152
883818000000,0.166
883821600000,0.225
883825200000,0.289
883828800000,0.303
883832400000,0.3
883836000000,0.297
883839600000,0.291
883843200000,0.286
883846800000,0.289
883850400000,0.286
883854000000,0.274
883857600000,0.294
883861200000,0.301
883864800000,0.251
883868400000,0.28
883872000000,0.361
883875600000,0.323
883879200000,0.231
883882800000,0.163
883886400000,0.134
883890000000,0.129
883893600000,0.135
883897200000,0.151
883900800000,0.167
883904400000,0.178
883908000000,0.174
883911600000,0.202
883915200000,0.245
883918800000,0.272
883922400000,0.302
883926000000,0.32
883929600000,0.323
883933200000,0.343
883936800000,0.386
883940400000,0.442
883944000000,0.437
883947600000,0.442
883951200000,0.415
883954800000,0.578
883958400000,0.663
883962000000,0.642
883965600000,0.598
883969200000,0.561
883972800000,0.547
883976400000,0.557
883980000000,0.591
883983600000,0.636
883987200000,0.656
883990800000,0.59
883994400000,0.531
883998000000,0.509
884001600000,0.496
884005200000,0.484
884008800000,0.516
884012400000,0.466
884016000000,0.425
884019600000,0.416
884023200000,0.413
884026800000,0.427
884030400000,0.423
884034000000,0.425
884037600000,0.432
884041200000,0.604
884044800000,0.697
884048400000,0.689
884052000000,0.648
884055600000,0.602
884059200000,0.551
884062800000,0.507
884066400000,0.488
884070000000,0.486
884073600000,0.461
884077200000,0.398
884080800000,0.375
884084400000,0.336
884088000000,0.303
884091600000,0.278
884095200000,0.259
884098800000,0.245
884102400000,0.236
884106000000,0.211
884109600000,0.179
884113200000,0.137
884116800000,0.099
884120400000,0.058
884124000000,0.031
884127600000,0.045
884131200000,0.093
884134800000,0.122
884138400000,0.123
884142000000,0.112
884145600000,0.092
884149200000,0.073
884152800000,0.091
884156400000,0.192
884160000000,0.352
884163600000,0.403
884167200000,0.4
884170800000,0.46
884174400000,0.556
884178000000,0.59
884181600000,0.584
884185200000,0.527
884188800000,0.473
884192400000,0.42
884196000000,0.382
884199600000,0.361
884203200000,0.346
884206800000,0.302
884210400000,0.243
884214000000,0.318
884217600000,0.377
